time,obs_value,Sex,Economic activity (Aggregate),Economic activity (Broad sector),Economic activity (ISIC-Rev.3.1),Currency
2017,1660.092, Total,, Total,, Local currency
2017,1380.134, Total,, Agriculture,, Local currency
2017,1697.332, Total,, Industry,, Local currency
2017,1664.747, Total,, Services,, Local currency
2017,2385.786, Total,, Not classified,, Local currency
2017,1720.506, Male,, Total,, Local currency
2017,1450.283, Male,, Agriculture,, Local currency
2017,1792.386, Male,, Industry,, Local currency
2017,1719.984, Male,, Services,, Local currency
2017,2387.093, Male,, Not classified,, Local currency
2017,1585.322, Female,, Total,, Local currency
2017,926.698, Female,, Agriculture,, Local currency
2017,1397.455, Female,, Industry,, Local currency
2017,1614.532, Female,, Services,, Local currency
2017,2384.267, Female,, Not classified,, Local currency
2017,1660.092, Total, Total,,, Local currency
2017,1380.134, Total, Agriculture,,, Local currency
2017,1542.921, Total, Manufacturing,,, Local currency
2017,1756.109, Total, Construction,,, Local currency
2017,2338.513, Total," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2017,1555.623, Total," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2017,1747.477, Total," Public Administration, Community, Social and other Services and Activities",,, Local currency
2017,2385.786, Total, Not classified,,, Local currency
2017,1720.506, Male, Total,,, Local currency
2017,1450.283, Male, Agriculture,,, Local currency
2017,1640.277, Male, Manufacturing,,, Local currency
2017,1833.681, Male, Construction,,, Local currency
2017,2378.195, Male," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2017,1653.191, Male," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2017,1792.788, Male," Public Administration, Community, Social and other Services and Activities",,, Local currency
2017,2387.093, Male, Not classified,,, Local currency
2017,1585.322, Female, Total,,, Local currency
2017,926.698, Female, Agriculture,,, Local currency
2017,1304.789, Female, Manufacturing,,, Local currency
2017,1260.536, Female, Construction,,, Local currency
2017,2194.039, Female," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2017,1423.119, Female," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2017,1717.198, Female," Public Administration, Community, Social and other Services and Activities",,, Local currency
2017,2384.267, Female, Not classified,,, Local currency
2017,1660.092, Total,,, Total, Local currency
2017,1371.986, Total,,," A. Agriculture, hunting and forestry", Local currency
2017,1654.877, Total,,, B. Fishing, Local currency
2017,2377.49, Total,,, C. Mining and quarrying, Local currency
2017,1542.921, Total,,, D. Manufacturing, Local currency
2017,2256.848, Total,,," E. Electricity, gas and water supply", Local currency
2017,1756.109, Total,,, F. Construction, Local currency
2017,1432.248, Total,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2017,1510.128, Total,,, H. Hotels and restaurants, Local currency
2017,1785.301, Total,,," I. Transport, storage and communications", Local currency
2017,2003.567, Total,,, J. Financial intermediation, Local currency
2017,1559.951, Total,,," K. Real estate, renting and business activities", Local currency
2017,1807.695, Total,,, L. Public administration and defence; compulsory social security, Local currency
2017,1865.787, Total,,, M. Education, Local currency
2017,1784.571, Total,,, N. Health and social work, Local currency
2017,1547.606, Total,,," O. Other community, social and personal service activities", Local currency
2017,1050.671, Total,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2017,2820.967, Total,,, Q. Extraterritorial organizations and bodies, Local currency
2017,2385.786, Total,,, X. Not elsewhere classified, Local currency
2017,1720.506, Male,,, Total, Local currency
2017,1442.035, Male,,," A. Agriculture, hunting and forestry", Local currency
2017,1711.057, Male,,, B. Fishing, Local currency
2017,2466.685, Male,,, C. Mining and quarrying, Local currency
2017,1640.277, Male,,, D. Manufacturing, Local currency
2017,2179.781, Male,,," E. Electricity, gas and water supply", Local currency
2017,1833.681, Male,,, F. Construction, Local currency
2017,1514.792, Male,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2017,1690.489, Male,,, H. Hotels and restaurants, Local currency
2017,1884.487, Male,,," I. Transport, storage and communications", Local currency
2017,2123.796, Male,,, J. Financial intermediation, Local currency
2017,1583.895, Male,,," K. Real estate, renting and business activities", Local currency
2017,1823.992, Male,,, L. Public administration and defence; compulsory social security, Local currency
2017,1857.64, Male,,, M. Education, Local currency
2017,1906.101, Male,,, N. Health and social work, Local currency
2017,1659.499, Male,,," O. Other community, social and personal service activities", Local currency
2017,1033.482, Male,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2017,2387.093, Male,,, X. Not elsewhere classified, Local currency
2017,1585.322, Female,,, Total, Local currency
2017,925.592, Female,,," A. Agriculture, hunting and forestry", Local currency
2017,2017.343, Female,,, C. Mining and quarrying, Local currency
2017,1304.789, Female,,, D. Manufacturing, Local currency
2017,2486.747, Female,,," E. Electricity, gas and water supply", Local currency
2017,1260.536, Female,,, F. Construction, Local currency
2017,1340.243, Female,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2017,1347.296, Female,,, H. Hotels and restaurants, Local currency
2017,1486.388, Female,,," I. Transport, storage and communications", Local currency
2017,1919.549, Female,,, J. Financial intermediation, Local currency
2017,1501.896, Female,,," K. Real estate, renting and business activities", Local currency
2017,1787.917, Female,,, L. Public administration and defence; compulsory social security, Local currency
2017,1868.861, Female,,, M. Education, Local currency
2017,1753.514, Female,,, N. Health and social work, Local currency
2017,1380.005, Female,,," O. Other community, social and personal service activities", Local currency
2017,1053.05, Female,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2017,2384.267, Female,,, X. Not elsewhere classified, Local currency
2016,134.687, Total,, Total,, Local currency
2016,116.465, Total,, Agriculture,, Local currency
2016,146.97, Total,, Industry,, Local currency
2016,132.244, Total,, Services,, Local currency
2016,151.819, Total,, Not classified,, Local currency
2016,139.801, Male,, Total,, Local currency
2016,116.826, Male,, Agriculture,, Local currency
2016,149.973, Male,, Industry,, Local currency
2016,137.554, Male,, Services,, Local currency
2016,164.506, Male,, Not classified,, Local currency
2016,128.171, Female,, Total,, Local currency
2016,113.106, Female,, Agriculture,, Local currency
2016,136.403, Female,, Industry,, Local currency
2016,127.341, Female,, Services,, Local currency
2016,135.238, Female,, Not classified,, Local currency
2016,134.687, Total, Total,,, Local currency
2016,116.465, Total, Agriculture,,, Local currency
2016,128.217, Total, Manufacturing,,, Local currency
2016,164.887, Total, Construction,,, Local currency
2016,196.042, Total," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2016,131.915, Total," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2016,132.486, Total," Public Administration, Community, Social and other Services and Activities",,, Local currency
2016,151.819, Total, Not classified,,, Local currency
2016,139.801, Male, Total,,, Local currency
2016,116.826, Male, Agriculture,,, Local currency
2016,131.698, Male, Manufacturing,,, Local currency
2016,166.213, Male, Construction,,, Local currency
2016,190.858, Male," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2016,137.752, Male," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2016,137.342, Male," Public Administration, Community, Social and other Services and Activities",,, Local currency
2016,164.506, Male, Not classified,,, Local currency
2016,128.171, Female, Total,,, Local currency
2016,113.106, Female, Agriculture,,, Local currency
2016,118.88, Female, Manufacturing,,, Local currency
2016,151.584, Female, Construction,,, Local currency
2016,212.623, Female," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2016,123.644, Female," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2016,129.222, Female," Public Administration, Community, Social and other Services and Activities",,, Local currency
2016,135.238, Female, Not classified,,, Local currency
2016,134.687, Total,,, Total, Local currency
2016,116.223, Total,,," A. Agriculture, hunting and forestry", Local currency
2016,126.278, Total,,, B. Fishing, Local currency
2016,211.527, Total,,, C. Mining and quarrying, Local currency
2016,128.217, Total,,, D. Manufacturing, Local currency
2016,166.543, Total,,," E. Electricity, gas and water supply", Local currency
2016,164.887, Total,,, F. Construction, Local currency
2016,125.028, Total,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2016,117.719, Total,,, H. Hotels and restaurants, Local currency
2016,156.289, Total,,," I. Transport, storage and communications", Local currency
2016,160.121, Total,,, J. Financial intermediation, Local currency
2016,124.9, Total,,," K. Real estate, renting and business activities", Local currency
2016,129.894, Total,,, L. Public administration and defence; compulsory social security, Local currency
2016,136.645, Total,,, M. Education, Local currency
2016,134.656, Total,,, N. Health and social work, Local currency
2016,136.851, Total,,," O. Other community, social and personal service activities", Local currency
2016,100.249, Total,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2016,145.408, Total,,, Q. Extraterritorial organizations and bodies, Local currency
2016,151.819, Total,,, X. Not elsewhere classified, Local currency
2016,139.801, Male,,, Total, Local currency
2016,116.509, Male,,," A. Agriculture, hunting and forestry", Local currency
2016,130.808, Male,,, B. Fishing, Local currency
2016,213.17, Male,,, C. Mining and quarrying, Local currency
2016,131.698, Male,,, D. Manufacturing, Local currency
2016,148.66, Male,,," E. Electricity, gas and water supply", Local currency
2016,166.213, Male,,, F. Construction, Local currency
2016,131.274, Male,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2016,124.969, Male,,, H. Hotels and restaurants, Local currency
