"CUADRO 7.- POBLACIÓN DE 15 AÑOS Y MAS OCUPADA, SEGÚN SECTOR EMPLEADOR Y RAMA DE ACTIVIDAD ECONÓMICA",,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
TOTAL,"14,001,625","13,551,405","13,395,757","13,189,806","13,295,860","13,316,396","13,025,496"
"ACTIVIDADES AGRÍCOLAS, PECUARIAS Y CAZA","757,916","620,702","686,907","727,508","682,977","712,576","493,003"
(%),5.4 %,4.6 %,5.1 %,5.5 %,5.1 %,5.4 %,3.8 %
INDUSTRIA MANUFACTURERA,"1,301,033","1,143,373","1,251,910","1,303,291","1,294,271","1,245,303","1,083,067"
(%),9.3 %,8.4 %,9.3 %,9.9 %,9.7 %,9.4 %,8.3 %
CONSTRUCCIÓN,"807,351","684,424","741,040","758,341","778,760","759,177","642,794"
(%),5.8 %,5.1 %,5.5 %,5.7 %,5.9 %,5.7 %,4.9 %
"COMERCIO, RESTAURANTES Y HOTELES","3,814,783","3,211,825","3,410,079","3,430,776","3,480,328","3,560,584","3,515,670"
(%),27.2 %,23.7 %,25.5 %,26.0 %,26.2 %,26.7 %,27.0 %
"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES","939,799","802,166","899,722","910,257","970,928","910,781","806,198"
(%),6.7 %,5.9 %,6.7 %,6.9 %,7.3 %,6.8 %,6.2 %
"ESTABL. FINANCIEROS, SEGUROS, BIENES INMUEBLES","1,051,508","919,113","888,381","947,778","928,353","936,313","910,550"
(%),7.5 %,6.8 %,6.6 %,7.2 %,7.0 %,7.0 %,7.0 %
"SERVICIOS COMUNALES, SOCIALES Y PERSONALES","5,073,018","4,331,203","4,613,751","4,754,355","4,825,557","4,825,461","4,576,581"
(%),36.2 %,32.0 %,34.4 %,36.0 %,36.3 %,36.2 %,35.1 %
"EXPLOTACIÓN DE HIDROCARBUROS, MINAS Y CANTERAS","74,537","62,870","79,447","82,931","83,419","77,363","91,741"
(%),0.5 %,0.5 %,0.6 %,0.6 %,0.6 %,0.6 %,0.7 %
"ELECTRICIDAD, GAS Y AGUA","58,136","49,510","73,676","72,582","67,575","93,759","90,244"
(%),0.4 %,0.4 %,0.6 %,0.6 %,0.5 %,0.7 %,0.7 %
ACTIV. NO BIEN ESPECIFICADAS Y/O NO DECLARADAS,"123,544","1,726,219","750,844","201,987","183,692","195,079","815,648"
(%),0.9 %,12.7 %,5.6 %,1.5 %,1.4 %,1.5 %,6.3 %
SECTOR PÚBLICO,"3,315,479","3,292,764","3,093,641","3,025,453","2,936,856","3,000,630","3,162,067"
"ACTIVIDADES AGRÍCOLAS, PECUARIAS Y CAZA","20,463","18,107","16,400","16,390","37,397","22,301","13,023"
(%),0.6 %,0.5 %,0.5 %,0.5 %,1.3 %,0.7 %,0.4 %
INDUSTRIA MANUFACTURERA,"86,398","72,670","76,701","85,287","77,005","57,934","58,979"
(%),2.6 %,2.2 %,2.5 %,2.8 %,2.6 %,1.9 %,1.9 %
CONSTRUCCIÓN,"24,094","20,199","21,577","24,071","45,174","33,964","25,990"
(%),0.7 %,0.6 %,0.7 %,0.8 %,1.5 %,1.1 %,0.8 %
"COMERCIO, RESTAURANTES Y HOTELES","126,225","109,708","99,183","101,945","114,635","111,533","135,132"
(%),3.8 %,3.3 %,3.2 %,3.4 %,3.9 %,3.7 %,4.3 %
"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES","108,413","96,337","99,296","98,634","98,712","136,198","148,604"
(%),3.3 %,2.9 %,3.2 %,3.3 %,3.4 %,4.5 %,4.7 %
"ESTABL. FINANCIEROS, SEGUROS, BIENES INMUEBLES","178,154","155,784","136,356","157,323","143,588","144,223","131,757"
(%),5.4 %,4.7 %,4.4 %,5.2 %,4.9 %,4.8 %,4.2 %
"SERVICIOS COMUNALES, SOCIALES Y PERSONALES","2,650,484","2,285,914","2,333,782","2,412,968","2,291,703","2,336,625","2,369,099"
(%),79.9 %,69.4 %,75.4 %,79.8 %,78.0 %,77.9 %,74.9 %
"EXPLOTACIÓN DE HIDROCARBUROS, MINAS Y CANTERAS","49,669","42,431","54,560","55,883","60,182","60,092","77,376"
(%),1.5 %,1.3 %,1.8 %,1.8 %,2.0 %,2.0 %,2.4 %
"ELECTRICIDAD, GAS Y AGUA","42,493","36,962","48,511","45,505","36,039","59,151","66,186"
(%),1.3 %,1.1 %,1.6 %,1.5 %,1.2 %,2.0 %,2.1 %
ACTIV. NO BIEN ESPECIFICADAS Y/O NO DECLARADAS,"29,086","454,652","207,275","27,447","32,421","38,609","135,921"
(%),0.9 %,13.8 %,6.7 %,0.9 %,1.1 %,1.3 %,4.3 %
SECTOR PRIVADO,"10,686,146","10,258,641","10,302,116","10,164,353","10,359,004","10,315,766","9,863,429"
"ACTIVIDADES AGRÍCOLAS, PECUARIAS Y CAZA","737,453","602,595","670,507","711,118","645,580","690,275","479,980"
(%),6.9 %,5.9 %,6.5 %,7.0 %,6.2 %,6.7 %,4.9 %
INDUSTRIA MANUFACTURERA,"1,214,635","1,070,703","1,175,209","1,218,004","1,217,266","1,187,369","1,024,088"
(%),11.4 %,10.4 %,11.4 %,12.0 %,11.8 %,11.5 %,10.4 %
CONSTRUCCIÓN,"783,257","664,225","719,463","734,270","733,586","725,213","616,804"
(%),7.3 %,6.5 %,7.0 %,7.2 %,7.1 %,7.0 %,6.3 %
"COMERCIO, RESTAURANTES Y HOTELES","3,688,558","3,102,117","3,310,896","3,328,831","3,365,693","3,449,051","3,380,538"
(%),34.5 %,30.2 %,32.1 %,32.8 %,32.5 %,33.4 %,34.3 %
"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES","831,386","705,829","800,426","811,623","872,216","774,583","657,594"
(%),7.8 %,6.9 %,7.8 %,8.0 %,8.4 %,7.5 %,6.7 %
"ESTABLECIMIENTOS FINANCIEROS, SEGUROS, BIENES INMUEBLES","873,354","763,329","752,025","790,455","784,765","792,090","778,793"
(%),8.2 %,7.4 %,7.3 %,7.8 %,7.6 %,7.7 %,7.9 %
"SERVICIOS COMUNALES, SOCIALES Y PERSONALES","2,422,534","2,045,289","2,279,969","2,341,387","2,533,854","2,488,836","2,207,482"
(%),22.7 %,19.9 %,22.1 %,23.0 %,24.5 %,24.1 %,22.4 %
"EXPLOTACIÓN DE HIDROCARBUROS, MINAS Y CANTERAS","24,868","20,439","24,887","27,048","23,237","17,271","14,365"
(%),0.2 %,0.2 %,0.2 %,0.3 %,0.2 %,0.2 %,0.1 %
"ELECTRICIDAD, GAS Y AGUA","15,643","12,548","25,165","27,077","31,536","34,608","24,058"
(%),0.1 %,0.1 %,0.2 %,0.3 %,0.3 %,0.3 %,0.2 %
ACTIV. NO BIEN ESPECIFICADAS Y/O NO DECLARADAS,"94,458","1,271,567","543,569","174,540","151,271","156,470","679,727"
(%),0.9 %,12.4 %,5.3 %,1.7 %,1.5 %,1.5 %,6.9 %
