"CUADRO 9.- POBLACIÓN DE 15 AÑOS Y MAS, SEGÚN CONDICIÓN DE OCUPACIÓN Y NIVEL EDUCATIVO",,,,,,,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,,2DO SEMESTRE 2022,,1ER SEMESTRE 2023
POBLACIÓN ACTIVA,"15,352,447","14,654,357","14,709,394","14,316,792","14,610,572",,"14,443,669",,"14,190,834"
ANALFABETOS,"120,152","112,429","127,841","121,839","126,234",,"130,052",,"87,240"
(%),0.8 %,0.8 %,0.9 %,0.9 %,0.9 %,,0.9 %,,0.6 %
SIN NIVEL,"50,445","46,074","45,145","45,476","52,828",,"40,038",,"22,174"
(%),0.3 %,0.3 %,0.3 %,0.3 %,0.4 %,,0.3 %,,0.2 %
PRIMARIA (A)  (PRIMERO A SEXTO GRADO),"2,461,851","2,325,231","2,379,925","2,339,732","2,271,236",,"2,191,288",,"1,775,823"
(%),16.0 %,15.9 %,16.2 %,16.3 %,15.5 %,,15.2 %,,12.5 %
SECUNDARIA (B) (PRIMERO A SEXTO AÑO DE BACHILLERATO),"7,688,444","7,297,486","7,346,359","7,104,730","7,202,514",,"7,185,395",,"7,195,555"
(%),50.1 %,49.8 %,49.9 %,49.6 %,49.3 %,,49.7 %,,50.7 %
TÉCNICO UNIVERSITARIO,"1,504,590","1,449,407","1,425,564","1,408,376","1,459,815",,"1,411,616",,"1,406,188"
(%),9.8 %,9.9 %,9.7 %,9.8 %,10.0 %,,9.8 %,,9.9 %
UNIVERSITARIO (C) ( INCLUYE POSTGRADO),"3,490,384","3,396,205","3,336,803","3,252,076","3,468,919",,"3,463,534",,"3,696,058"
(%),22.7 %,23.2 %,22.7 %,22.7 %,23.7 %,,24.0 %,,26.0 %
NO DECLARADO,"36,581","27,525","47,757","44,563","29,026",,"21,746",,"7,796"
(%),0.2 %,0.2 %,0.3 %,0.3 %,0.2 %,,0.2 %,,0.1 %
POBLACIÓN OCUPADA,"14,001,625","13,551,405","13,395,757","13,189,806","13,295,860","13,316,396",,,"13,025,496"
ANALFABETOS,"107,085","99,248","111,321","108,820","108,705","114,870",,,"77,514"
(%),0.8 %,0.7 %,0.8 %,0.8 %,0.8 %,0.9 %,,,0.6 %
SIN NIVEL,"42,807","39,375","38,776","38,543","43,015","33,306",,,"20,080"
(%),0.3 %,0.3 %,0.3 %,0.3 %,0.3 %,0.3 %,,,0.2 %
PRIMARIA (A)  (PRIMERO A SEXTO GRADO),"2,235,151","2,136,486","2,149,530","2,121,498","2,022,012","1,965,883",,,"1,525,634"
(%),16.0 %,15.8 %,16.0 %,16.1 %,15.2 %,14.8 %,,,11.7 %
SECUNDARIA (B) (PRIMERO A SEXTO AÑO DE BACHILLERATO),"6,973,522","6,730,257","6,662,800","6,534,033","6,533,754","6,595,893",,,"6,516,392"
(%),49.8 %,49.7 %,49.7 %,49.5 %,49.1 %,49.5 %,,,50.0 %
TÉCNICO UNIVERSITARIO,"1,398,751","1,364,674","1,328,765","1,319,601","1,358,042","1,335,138",,,"1,350,579"
(%),10.0 %,10.1 %,9.9 %,10.0 %,10.2 %,10.0 %,,,10.4 %
UNIVERSITARIO (C) ( INCLUYE POSTGRADO),"3,223,759","3,164,143","3,076,748","3,040,413","3,212,205","3,257,240",,,"3,528,343"
(%),23.0 %,23.3 %,23.0 %,23.1 %,24.2 %,24.5 %,,,27.1 %
NO DECLARADO,"20,550","17,222","27,817","26,898","18,127","14,066",,,"6,954"
(%),0.1 %,0.1 %,0.2 %,0.2 %,0.1 %,0.1 %,,,0.1 %
POBLACIÓN DESOCUPADA,"1,350,822","1,102,952","1,313,637","1,126,986","1,314,712","1,127,273",,"1,165,338",
ANALFABETOS,"13,067","13,181","16,520","13,019","17,529","15,182",,"9,726",
(%),1.0 %,1.2 %,1.3 %,1.2 %,1.3 %,1.3 %,,0.8 %,
SIN NIVEL,"7,638","6,699","6,369","6,933","9,813","6,732",,"2,094",
(%),0.6 %,0.6 %,0.5 %,0.6 %,0.7 %,0.6 %,,0.2 %,
PRIMARIA (A)  (PRIMERO A SEXTO GRADO),"226,700","188,745","230,395","218,234","249,224","225,405",,"250,189",
(%),16.8 %,17.1 %,17.5 %,19.4 %,19.0 %,20.0 %,,21.5 %,
SECUNDARIA (B) (PRIMERO A SEXTO AÑO DE BACHILLERATO),"714,922","567,229","683,559","570,697","668,760","589,502",,"679,163",
(%),52.9 %,51.4 %,52.0 %,50.6 %,50.9 %,52.3 %,,58.3 %,
TÉCNICO UNIVERSITARIO,"105,839","84,733","96,799","88,775","101,773","76,478",,"55,609",
(%),7.8 %,7.7 %,7.4 %,7.9 %,7.7 %,6.8 %,,4.8 %,
UNIVERSITARIO (C) ( INCLUYE POSTGRADO),"266,625","232,062","260,055","211,663","256,714","206,294",,"167,715",
(%),19.7 %,21.0 %,19.8 %,18.8 %,19.5 %,18.3 %,,14.4 %,
NO DECLARADO,"16,031","10,303","19,940","17,665","10,899","7,680",,842,
(%),1.2 %,0.9 %,1.5 %,1.6 %,0.8 %,0.7 %,,0.1 %,
