"CUADRO 3.- POBLACIÓN DE 15 AÑOS Y MAS OCUPADA, SEGÚN SECTOR EMPLEADOR, CATEGORIA OCUPACIONAL Y SEXO",,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
TOTAL,"14,001,625","13,551,405","13,395,757","13,189,806","13,295,860","13,316,396","13,025,496"
SECTOR PÚBLICO,"3,315,479","3,292,764","3,093,641","3,025,453","2,936,856","3,000,630","3,162,067"
(%),23.7 %,24.3 %,23.1 %,22.9 %,22.1 %,22.5 %,24.3 %
"EMPLEADOS, OBREROS Y TRAB. COMUNALES","3,315,479","3,292,764","3,093,641","3,025,453","2,936,856","3,000,630","3,162,067"
(%),23.7 %,24.3 %,23.1 %,22.9 %,22.1 %,22.5 %,24.3 %
SECTOR PRIVADO,"10,686,146","10,258,641","10,302,116","10,164,353","10,359,004","10,315,766","9,863,429"
(%),76.3 %,75.7 %,76.9 %,77.1 %,77.9 %,77.5 %,75.7 %
EMPLEADOS Y OBREROS,"4,366,974","4,233,462","4,100,143","4,045,383","4,081,067","4,160,060","3,956,122"
(%),31.2 %,31.2 %,30.6 %,30.7 %,30.7 %,31.2 %,30.4 %
TRABAJADORES POR CUENTA PROPIA,"5,354,441","5,083,062","5,386,092","5,312,632","5,466,203","5,371,365","5,176,596"
(%),38.2 %,37.5 %,40.2 %,40.3 %,41.1 %,40.3 %,39.7 %
PATRONOS Y EMPLEADORES,"271,855","245,988","213,934","218,343","227,014","227,960","267,823"
(%),1.9 %,1.8 %,1.6 %,1.7 %,1.7 %,1.7 %,2.1 %
MIEMBROS DE COOPERATIVA,"88,040","88,848","76,293","74,104","67,405","66,629","87,067"
(%),0.6 %,0.7 %,0.6 %,0.6 %,0.5 %,0.5 %,0.7 %
SOCIEDAD DE PERSONAS,"533,803","531,264","445,952","435,218","405,308","404,461","301,984"
(%),3.8 %,3.9 %,3.3 %,3.3 %,3.0 %,3.0 %,2.3 %
