"POBLACIÓN DE 15 AÑOS Y MAS, SEGÚN SITUACIÓN EN LA FUERZA DE TRABAJO, GRUPO DE EDAD Y SEXO"
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
DESOCUPADOS,"1,350,822","1,102,952","1,313,637","1,126,986","1,314,712","1,127,273","1,165,338"
TASA DE DESOCUPACIÓN (%),8.8 %,7.5 %,8.9 %,7.9 %,9.0 %,7.8 %,8.2 %
15 - 24,"359,407","257,912","338,738","230,294","271,357","193,060","195,787"
TASA DE DESOCUPACIÓN (%),17.1 %,13.6 %,17.2 %,12.6 %,14.3 %,10.7 %,11.7 %
25 - 44,"574,011","481,639","513,896","432,902","490,480","414,823","395,646"
TASA DE DESOCUPACIÓN (%),7.0 %,6.1 %,6.7 %,5.8 %,6.4 %,5.4 %,5.1 %
45 - 64,"269,725","222,739","266,360","260,153","321,714","305,022","344,644"
TASA DE DESOCUPACIÓN (%),6.2 %,5.3 %,6.2 %,6.2 %,7.6 %,7.2 %,8.4 %
65 Y MAS,"147,679","140,662","194,643","203,637","231,161","214,368","229,261"
TASA DE DESOCUPACIÓN (%),21.9 %,21.2 %,25.7 %,26.4 %,29.0 %,27.7 %,32.1 %
INACTIVOS,"8,792,091","9,816,928","9,961,990","10,558,672","10,461,746","10,938,813","11,278,891"
TASA DE INACTIVIDAD (%),36.4 %,40.1 %,40.4 %,42.4 %,41.7 %,43.1 %,44.3 %
15 - 24,"2,689,153","3,191,553","3,298,747","3,577,958","3,536,868","3,649,885","3,620,503"
TASA DE INACTIVIDAD (%),56.2 %,62.8 %,62.7 %,66.2 %,65.1 %,67.0 %,68.4 %
25 - 44,"2,183,522","2,379,193","2,398,897","2,520,956","2,368,090","2,509,188","2,548,462"
TASA DE INACTIVIDAD (%),21.0 %,23.2 %,23.7 %,25.2 %,23.5 %,24.7 %,24.9 %
45 - 64,"1,865,981","2,068,090","2,105,703","2,210,105","2,186,144","2,324,478","2,487,137"
TASA DE INACTIVIDAD (%),29.9 %,32.8 %,33.0 %,34.3 %,34.1 %,35.4 %,37.7 %
65 Y MAS,"2,053,435","2,178,092","2,158,643","2,249,653","2,370,644","2,455,262","2,622,789"
TASA DE INACTIVIDAD (%),75.2 %,76.6 %,74.0 %,74.5 %,74.9 %,76.1 %,78.6 %
