"POBLACIÓN DE 15 AÑOS Y MAS, SEGÚN SITUACIÓN EN LA FUERZA DE TRABAJO, GRUPO DE EDAD Y SEXO",,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
HOMBRES,"16,176,928","16,387,650","16,481,277","16,575,925","16,668,034","16,761,110","16,851,635"
15 AÑOS Y MAS,"11,975,086","12,142,300","12,241,480","12,342,649","12,439,534","12,593,591","12,635,957"
15 - 24,"2,350,942","2,563,943","2,659,677","2,766,155","2,784,784","2,791,218","2,666,296"
25 - 44,"5,286,540","5,186,364","5,120,112","5,044,119","5,061,307","5,099,993","5,204,545"
45 - 64,"3,074,125","3,086,588","3,126,739","3,143,044","3,129,649","3,197,230","3,220,099"
65 Y MAS,"1,263,479","1,305,405","1,334,952","1,389,331","1,463,794","1,505,150","1,545,017"
ACTIVA,"9,250,015","8,829,408","8,951,346","8,688,201","8,778,303","8,769,585","8,663,506"
TASA DE ACTIVIDAD (%),77.2 %,72.7 %,73.1 %,70.4 %,70.6 %,69.6 %,68.6 %
15 - 24,"1,316,552","1,168,945","1,241,628","1,140,900","1,157,265","1,099,338","968,068"
TASA DE ACTIVIDAD (%),56.0 %,45.6 %,46.7 %,41.2 %,41.6 %,39.4 %,36.3 %
25 - 44,"4,864,832","4,679,300","4,617,174","4,473,352","4,541,282","4,565,775","4,684,178"
TASA DE ACTIVIDAD (%),92.0 %,90.2 %,90.2 %,88.7 %,89.7 %,89.5 %,90.0 %
45 - 64,"2,604,194","2,535,799","2,594,587","2,570,547","2,560,491","2,582,767","2,523,500"
TASA DE ACTIVIDAD (%),84.7 %,82.2 %,83.0 %,81.8 %,81.8 %,80.8 %,78.4 %
65 Y MAS,"464,437","445,364","497,957","503,402","519,265","521,705","487,760"
TASA DE ACTIVIDAD (%),36.8 %,34.1 %,37.3 %,36.2 %,35.5 %,34.7 %,31.6 %
OCUPADA,"8,454,514","8,186,627","8,190,482","8,045,274","8,058,482","8,149,575","8,004,471"
TASA DE OCUPACIÓN (%),91.4 %,92.7 %,91.5 %,92.6 %,91.8 %,92.9 %,92.4 %
15 - 24,"1,124,005","1,031,951","1,051,865","1,017,614","1,006,108","1,004,962","878,662"
TASA DE OCUPACIÓN (%),85.4 %,88.3 %,84.7 %,89.2 %,86.9 %,91.4 %,90.8 %
25 - 44,"4,530,048","4,403,984","4,319,480","4,230,007","4,283,767","4,346,462","4,455,413"
TASA DE OCUPACIÓN (%),93.1 %,94.1 %,93.6 %,94.6 %,94.3 %,95.2 %,95.1 %
45 - 64,"2,432,996","2,395,627","2,442,579","2,418,477","2,389,318","2,405,176","2,317,124"
TASA DE OCUPACIÓN (%),93.4 %,94.5 %,94.1 %,94.1 %,93.3 %,93.1 %,91.8 %
65 Y MAS,"367,465","355,065","376,558","379,176","379,289","392,975","353,272"
TASA DE OCUPACIÓN (%),79.1 %,79.7 %,75.6 %,75.3 %,73.0 %,75.3 %,72.4 %
DESOCUPADA,"795,501","642,781","760,864","642,927","719,821","620,010","659,035"
TASA DE DESOCUPACIÓN (%),8.6 %,7.3 %,8.5 %,7.4 %,8.2 %,7.1 %,7.6 %
15 - 24,"192,547","136,994","189,763","123,286","151,157","94,376","89,406"
TASA DE DESOCUPACIÓN (%),14.6 %,11.7 %,15.3 %,10.8 %,13.1 %,8.6 %,9.2 %
25 - 44,"334,784","275,316","297,694","243,345","257,515","219,313","228,765"
TASA DE DESOCUPACIÓN (%),6.9 %,5.9 %,6.4 %,5.4 %,5.7 %,4.8 %,4.9 %
45 - 64,"171,198","140,172","152,008","152,070","171,173","177,591","206,376"
TASA DE DESOCUPACIÓN (%),6.6 %,5.5 %,5.9 %,5.9 %,6.7 %,6.9 %,8.2 %
65 Y MAS,"96,972","90,299","121,399","124,226","139,976","128,730","134,488"
TASA DE DESOCUPACIÓN (%),20.9 %,20.3 %,24.4 %,24.7 %,27.0 %,24.7 %,27.6 %
INACTIVA,"2,725,071","3,312,892","3,290,134","3,654,448","3,661,231","3,824,006","3,972,451"
TASA DE INACTIVIDAD (%),22.8 %,27.3 %,26.9 %,29.6 %,29.4 %,30.4 %,31.4 %
15 - 24,"1,034,390","1,394,998","1,418,049","1,625,255","1,627,519","1,691,880","1,698,228"
TASA DE INACTIVIDAD (%),44.0 %,54.4 %,53.3 %,58.8 %,58.4 %,60.6 %,63.7 %
25 - 44,"421,708","507,064","502,938","570,767","520,025","534,218","520,367"
TASA DE INACTIVIDAD (%),8.0 %,9.8 %,9.8 %,11.3 %,10.3 %,10.5 %,10.0 %
45 - 64,"469,931","550,789","532,152","572,497","569,158","614,463","696,599"
TASA DE INACTIVIDAD (%),15.3 %,17.8 %,17.0 %,18.2 %,18.2 %,19.2 %,21.6 %
65 Y MAS,"799,042","860,041","836,995","885,929","944,529","983,445","1,057,257"
TASA DE INACTIVIDAD (%),63.2 %,65.9 %,62.7 %,63.8 %,64.5 %,65.3 %,68.4 %
ESTUDIANTE,"710,343","940,108","999,231","1,129,090","1,159,618","1,225,138","1,283,218"
15 - 24,"664,667","881,646","939,987","1,062,029","1,095,866","1,168,036","1,238,552"
25 - 44,"44,387","57,199","57,916","65,535","62,774","56,179","42,803"
45 - 64,"1,289","1,263","1,102","1,221",759,694,754
65 Y MAS,0,0,226,305,219,229,"1,109"
QUEHACERES DEL HOGAR,"309,521","379,599","413,207","465,433","454,876","496,748","647,717"
15 - 24,"65,888","92,055","96,495","111,812","111,809","115,094","86,536"
