"CUADRO 5.- POBLACIÓN DE 15 AÑOS Y MAS ECONÓMICAMENTE ACTIVA, SEGÚN RAMA DE ACTIVIDAD ECONÓMICA Y",,,,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
POBLACIÓN ECONÓMICAMENTE ACTIVA,"15,352,447","14,654,357","14,709,394","14,316,792","14,610,572","14,443,669","14,190,834"
ACTIVIDADES AGRÍCOLAS PECUARIAS Y CAZA,,,,,,
POBLACIÓN ACTIVA,"786,346","640,624","712,233","753,158","712,334","737,535","509,403"
TASA DE ACTIVIDAD (%),5.1 %,4.4 %,4.8 %,5.3 %,4.9 %,5.1 %,3.6 %
OCUPADA,"757,916","620,702","686,907","727,508","682,977","712,576","493,003"
TASA DE OCUPACIÓN (%),96.4 %,96.9 %,96.4 %,96.6 %,95.9 %,96.6 %,96.8 %
DESOCUPADA,"28,430","19,922","25,326","25,650","29,357","24,959","16,400"
TASA DE DESOCUPACIÓN (%),3.6 %,3.1 %,3.6 %,3.4 %,4.1 %,3.4 %,3.2 %
INDUSTRIA MANUFACTURERA,,,,,,
POBLACIÓN ACTIVA,"1,376,651","1,199,010","1,318,417","1,372,171","1,367,832","1,309,367","1,136,372"
TASA DE ACTIVIDAD (%),9.0 %,8.2 %,9.0 %,9.6 %,9.4 %,9.1 %,8.0 %
OCUPADA,"1,301,033","1,143,373","1,251,910","1,303,291","1,294,271","1,245,303","1,083,067"
TASA DE OCUPACIÓN (%),94.5 %,95.4 %,95.0 %,95.0 %,94.6 %,95.1 %,95.3 %
DESOCUPADA,"75,618","55,637","66,507","68,880","73,561","64,064","53,305"
TASA DE DESOCUPACIÓN (%),5.5 %,4.6 %,5.0 %,5.0 %,5.4 %,4.9 %,4.7 %
CONSTRUCCIÓN,,,,,,
POBLACIÓN ACTIVA,"893,334","743,554","809,499","821,012","852,833","822,103","689,862"
TASA DE ACTIVIDAD (%),5.8 %,5.1 %,5.5 %,5.7 %,5.8 %,5.7 %,4.9 %
OCUPADA,"807,351","684,424","741,040","758,341","778,760","759,177","642,794"
TASA DE OCUPACIÓN (%),90.4 %,92.0 %,91.5 %,92.4 %,91.3 %,92.3 %,93.2 %
DESOCUPADA,"85,983","59,130","68,459","62,671","74,073","62,926","47,068"
TASA DE DESOCUPACIÓN (%),9.6 %,8.0 %,8.5 %,7.6 %,8.7 %,7.7 %,6.8 %
"COMERCIO, RESTAURANTES Y HOTELES",,,,,,
POBLACIÓN ACTIVA,"4,036,651","3,367,067","3,580,830","3,580,911","3,655,676","3,716,469","3,628,627"
Tasa de Actividad (%),26.3 %,23.0 %,24.3 %,25.0 %,25.0 %,25.7 %,25.6 %
OCUPADA,"3,814,783","3,211,825","3,410,079","3,430,776","3,480,328","3,560,584","3,515,670"
Tasa de ocupación (%),94.5 %,95.4 %,95.2 %,95.8 %,95.2 %,95.8 %,96.9 %
DESOCUPADA,"221,868","155,242","170,751","150,135","175,348","155,885","112,957"
Tasa de desocupación (%),5.5 %,4.6 %,4.8 %,4.2 %,4.8 %,4.2 %,3.1 %
"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",,,,,,
POBLACIÓN ACTIVA,"1,000,646","847,566","944,312","958,815","1,023,945","956,688","829,754"
Tasa de Actividad (%),6.5 %,5.8 %,6.4 %,6.7 %,7.0 %,6.6 %,5.8 %
OCUPADA,"939,799","802,166","899,722","910,257","970,928","910,781","806,198"
Tasa de ocupación (%),93.9 %,94.6 %,95.3 %,94.9 %,94.8 %,95.2 %,97.2 %
DESOCUPADA,"60,847","45,400","44,590","48,558","53,017","45,907","23,556"
Tasa de desocupación (%),6.1 %,5.4 %,4.7 %,5.1 %,5.2 %,4.8 %,2.8 %
"ESTABLECIMIENTOS FINANCIEROS, SEGUROS Y BIENES INMUEBLES",,,,,,
POBLACIÓN ACTIVA,"1,091,421","947,892","921,894","977,371","966,390","963,940","934,866"
Tasa de Actividad (%),7.1 %,6.5 %,6.3 %,6.8 %,6.6 %,6.7 %,6.6 %
OCUPADA,"1,051,508","919,113","888,381","947,778","928,353","936,313","910,550"
Tasa de ocupación (%),96.3 %,97.0 %,96.4 %,97.0 %,96.1 %,97.1 %,97.4 %
DESOCUPADA,"39,913","28,779","33,513","29,593","38,037","27,627","24,316"
Tasa de desocupación (%),3.7 %,3.0 %,3.6 %,3.0 %,3.9 %,2.9 %,2.6 %
"SERVICIOS COMUNALES, SOCIALES Y PERSONALES",,,,,,
POBLACIÓN ACTIVA,"5,264,000","4,469,495","4,790,540","4,927,792","5,041,920","5,010,639","4,707,886"
Tasa de Actividad (%),34.3 %,30.5 %,32.6 %,34.4 %,34.5 %,34.7 %,33.2 %
OCUPADA,"5,073,018","4,331,203","4,613,751","4,754,355","4,825,557","4,825,461","4,576,581"
Tasa de ocupación (%),96.4 %,96.9 %,96.3 %,96.5 %,95.7 %,96.3 %,97.2 %
DESOCUPADA,"190,982","138,292","176,789","173,437","216,363","185,178","131,305"
Tasa de desocupación (%),3.6 %,3.1 %,3.7 %,3.5 %,4.3 %,3.7 %,2.8 %
"EXPLOTACIÓN DE HIDROCARBUROS, MINAS Y CANTERAS",,,,,,
POBLACIÓN ACTIVA,"79,628","66,207","84,162","87,116","86,433","80,377","94,561"
Tasa de Actividad (%),0.5 %,0.5 %,0.6 %,0.6 %,0.6 %,0.6 %,0.7 %
OCUPADA,"74,537","62,870","79,447","82,931","83,419","77,363","91,741"
Tasa de ocupación (%),93.6 %,95.0 %,94.4 %,95.2 %,96.5 %,96.3 %,97.0 %
DESOCUPADA,"5,091","3,337","4,715","4,185","3,014","3,014","2,820"
Tasa de desocupación (%),6.4 %,5.0 %,5.6 %,4.8 %,3.5 %,3.7 %,3.0 %
"ELECTRICIDAD, GAS Y AGUA",,,,,,
POBLACIÓN ACTIVA,"59,196","50,299","74,431","73,205","68,590","96,239","93,738"
Tasa de Actividad (%),0.4 %,0.3 %,0.5 %,0.5 %,0.5 %,0.7 %,0.7 %
OCUPADA,"58,136","49,510","73,676","72,582","67,575","93,759","90,244"
Tasa de ocupación (%),98.2 %,98.4 %,99.0 %,99.1 %,98.5 %,97.4 %,96.3 %
DESOCUPADA,"1,060",789,755,623,"1,015","2,480","3,494"
Tasa de desocupación (%),1.8 %,1.6 %,1.0 %,0.9 %,1.5 %,2.6 %,3.7 %
ACTIVIDADES NO BIEN ESPECIFICADAS Y/O NO DECLARADAS,,,,,,
POBLACIÓN ACTIVA,"203,579","1,893,043","870,466","280,135","302,187","249,032","887,722"
Tasa de Actividad (%),1.3 %,12.9 %,5.9 %,2.0 %,2.1 %,1.7 %,6.3 %
OCUPADA,"123,544","1,726,219","750,844","201,987","183,692","195,079","815,648"
Tasa de ocupación (%),60.7 %,91.2 %,86.3 %,72.1 %,60.8 %,78.3 %,91.9 %
DESOCUPADA,"80,035","166,824","119,622","78,148","118,495","53,953","72,074"
Tasa de desocupación (%),39.3 %,8.8 %,13.7 %,27.9 %,39.2 %,21.7 %,8.1 %
DESOCUPADOS QUE NO BUSCAN TRABAJO,"360,859","213,873","126,348","95,502","91,180","47,950","12,818"
BUSCANDO TRABAJO POR PRIMERA VEZ,"200,136","215,727","476,262","389,604","441,252","453,330","665,225"
