"CUADRO 6.- POBLACIÓN DE 15 AÑOS Y MAS ECONÓMICAMENTE ACTIVA, SEGÚN GRUPO DE OCUPACIÓN Y",,,,,,,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,,2DO SEMESTRE 2022,,1ER SEMESTRE 2023
POBLACIÓN ECONÓMICAMENTE ACTIVA,"15,352,447","14,654,357","14,709,394","14,316,792","14,610,572",,"14,443,669",,"14,190,834"
"PROFESIONALES, TÉCNICOS Y PERSONAS EN OCUPACIONES AFINES",,,,,,,,,
POBLACIÓN ACTIVA,"2,428,969","3,814,817","2,839,101","2,306,661","2,300,979",,"2,314,527",,"2,471,801"
Tasa de Actividad (%),15.8 %,26.0 %,19.3 %,16.1 %,15.7 %,,16.0 %,,17.4 %
OCUPADA,"2,357,336","3,645,079","2,721,008","2,228,496","2,206,339",,"2,233,419",,"2,417,756"
Tasa de ocupación (%),97.1 %,95.6 %,95.8 %,96.6 %,95.9 %,,96.5 %,,97.8 %
DESOCUPADA,"71,633","169,738","118,093","78,165","94,640",,"81,108",,"54,045"
Tasa de desocupación (%),2.9 %,4.4 %,4.2 %,3.4 %,4.1 %,,3.5 %,,2.2 %
"GERENTES, ADMINISTRADORES, DIRECTORES Y OTROS FUNCIONARIOS DE CATEGORIA DIRECTIVA",,,,,,,,,
POBLACIÓN ACTIVA,"460,506","404,459","526,942","537,095","669,786",,"550,430",,"699,016"
Tasa de Actividad (%),3.0 %,2.8 %,3.6 %,3.8 %,4.6 %,,3.8 %,,4.9 %
OCUPADA,"437,568","384,608","501,958","507,814","636,325",,"519,693",,"683,238"
Tasa de ocupación (%),95.0 %,95.1 %,95.3 %,94.5 %,95.0 %,,94.4 %,,97.7 %
DESOCUPADA,"22,938","19,851","24,984","29,281","33,461",,"30,737",,"15,778"
Tasa de desocupación (%),5.0,4.9,4.7,5.5,5.0,,5.6,,2.3
EMPLEADOS DE OFICINA Y AFINES,,,,,,,,,
POBLACIÓN ACTIVA,"1,032,650","888,788","927,042","931,457","937,669",,"900,732",,"761,705"
Tasa de Actividad (%),6.7 %,6.1 %,6.3 %,6.5 %,6.4 %,,6.2 %,,5.4 %
OCUPADA,"976,383","847,301","873,384","887,862","888,167",,"861,994",,"736,875"
Tasa de ocupación (%),94.6 %,95.3 %,94.2 %,95.3 %,94.7 %,,95.7 %,,96.7 %
DESOCUPADA,"56,267","41,487","53,658","43,595","49,502",,"38,738",,"24,830"
Tasa de desocupación (%),5.4 %,4.7 %,5.8 %,4.7 %,5.3 %,,4.3 %,,3.3 %
VENDEDORES Y PERSONAS EN OCUPACIONES AFINES,,,,,,,,,
POBLACIÓN ACTIVA,"2,983,573","2,465,821","2,592,923","2,636,533","2,597,546",,"2,663,175",,"2,346,193"
Tasa de Actividad (%),19.4 %,16.8 %,17.6 %,18.4 %,17.8 %,,18.4 %,,16.5 %
OCUPADA,"2,839,968","2,368,448","2,486,902","2,536,710","2,478,452",,"2,550,606",,"2,261,844"
Tasa de ocupación (%),95.2 %,96.1 %,95.9 %,96.2 %,95.4 %,,95.8 %,,96.4 %
DESOCUPADA,"143,605","97,373","106,021","99,823","119,094",,"112,569",,"84,349"
Tasa de desocupación (%),4.8 %,3.9 %,4.1 %,3.8 %,4.6 %,,4.2 %,,3.6 %
"AGRICULTORES, GANADEROS, PESCADORES, CAZADORES, TRABAJADORES FORESTALES Y",,,,,,,,,
POBLACIÓN ACTIVA,"756,068","610,001","729,571","774,718","753,606",,"766,371",,"536,864"
Tasa de Actividad (%),4.9 %,4.2 %,5.0 %,5.4 %,5.2 %,,5.3 %,,3.8 %
OCUPADA,"728,600","591,341","707,700","749,193","726,790",,"742,668",,"518,056"
Tasa de ocupación (%),96.4 %,96.9 %,97.0 %,96.7 %,96.4 %,,96.9 %,,96.5 %
DESOCUPADA,"27,468","18,660","21,871","25,525","26,816",,"23,703",,"18,808"
Tasa de desocupación (%),3.6 %,3.1 %,3.0 %,3.3 %,3.6 %,,3.1 %,,3.5 %
"CONDUCTORES DE MEDIOS DE TRANSPORTE, COMUNICACIONES Y PERSONAS EN OCUPACIONES AFINES",,,,,,,,,
POBLACIÓN ACTIVA,"1,029,244","873,646","969,556","990,611","1,044,280",,"1,023,880",,"972,679"
Tasa de Actividad (%),6.7 %,6.0 %,6.6 %,6.9 %,7.1 %,,7.1 %,,6.9 %
OCUPADA,"966,258","826,436","919,147","939,349","987,996",,"978,800",,"944,104"
Tasa de ocupación (%),93.9 %,94.6 %,94.8 %,94.8 %,94.6 %,,95.6 %,,97.1 %
DESOCUPADA,"62,986","47,210","50,409","51,262","56,284",,"45,080",,"28,575"
Tasa de desocupación (%),6.1 %,5.4 %,5.2 %,5.2 %,5.4 %,,4.4 %,,2.9 %
"MINEROS, CANTEROS Y PERSONAS EN OCUPACIONES AFINES",,,,,,,,,
POBLACIÓN ACTIVA,"62,313","52,621","50,333","53,797","53,445","45,528",,"21,154",
Tasa de Actividad (%),0.4 %,0.4 %,0.3 %,0.4 %,0.4 %,0.3 %,,0.1 %,
OCUPADA,"60,428","51,542","49,457","53,402","51,771","45,248",,"21,100",
Tasa de ocupación (%),97.0 %,97.9 %,98.3 %,99.3 %,96.9 %,99.4 %,,99.7 %,
DESOCUPADA,"1,885","1,079",876,395,"1,674",280,,54,
Tasa de desocupación (%),3.0 %,2.1 %,1.7 %,0.7 %,3.1 %,0.6 %,,0.3 %,
"ARTESANOS, OPERARIOS EN FÁBRICAS Y TRABAJADORES EN OCUPACIONES AFINES",,,,,,,,,
POBLACIÓN ACTIVA,"2,885,953","2,421,052","2,623,224","2,696,219","2,753,186","2,710,052",,"2,418,446",
Tasa de Actividad (%),18.8 %,16.5 %,17.8 %,18.8 %,18.8 %,18.8 %,,17.0 %,
OCUPADA,"2,693,897","2,286,002","2,468,576","2,552,635","2,596,693","2,576,049",,"2,322,055",
Tasa de ocupación (%),93.3 %,94.4 %,94.1 %,94.7 %,94.3 %,95.1 %,,96.0 %,
DESOCUPADA,"192,056","135,050","154,648","143,584","156,493","134,003",,"96,391",
Tasa de desocupación (%),6.7 %,5.6 %,5.9 %,5.3 %,5.7 %,4.9 %,,4.0 %,
"TRABAJADORES DE LOS SERVICIOS, DEPORTES Y DIVERSIONES",,,,,,,,,
POBLACIÓN ACTIVA,"2,842,517","2,442,312","2,485,513","2,539,202","2,580,743","2,655,210",,"2,616,023",
Tasa de Actividad (%),18.5 %,16.7 %,16.9 %,17.7 %,17.7 %,18.4 %,,18.4 %,
OCUPADA,"2,710,211","2,349,818","2,388,115","2,448,034","2,459,416","2,550,520",,"2,521,095",
Tasa de ocupación (%),95.3 %,96.2 %,96.1 %,96.4 %,95.3 %,96.1 %,,96.4 %,
DESOCUPADA,"132,306","92,494","97,398","91,168","121,327","104,690",,"94,928",
Tasa de desocupación (%),4.7 %,3.8 %,3.9 %,3.6 %,4.7 %,3.9 %,,3.6 %,
OTROS GRUPOS DE OCUPACIÓN Y TRABAJADORES EN ACTIVIDADESESPECIFICADAS Y/O DECLARADAS NO BIEN ESPECIFICADAS,,,,,,,,,
POBLACIÓN ACTIVA,"309,659","251,240","362,579","365,393","386,900","312,484",,"668,910",
Tasa de Actividad (%),2.0 %,1.7 %,2.5 %,2.6 %,2.6 %,2.2 %,,4.7 %,
OCUPADA,"230,976","200,830","279,510","286,311","263,911","257,399",,"599,373",
Tasa de ocupación (%),74.6 %,79.9 %,77.1 %,78.4 %,68.2 %,82.4 %,,89.6 %,
DESOCUPADA,"78,683","50,410","83,069","79,082","122,989","55,085",,"69,537",
Tasa de desocupación (%),25.4 %,20.1 %,22.9 %,21.6 %,31.8 %,17.6 %,,10.4 %,
DESOCUPADOS QUE NO BUSCAN TRABAJO,"360,859","213,873","126,348","95,502","91,180","47,950",,"12,818",
BUSCANDO TRABAJO POR PRIMERA VEZ,"200,136","215,727","476,262","389,604","441,252","453,330",,"665,225",
