time,sex,classif1,classif2,obs_value,age_extracted
2017,Sex: Male,Age : 15+,Occupation : Skill levels 3 and 4 ~ high,836.207,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : Skill level 2 ~ medium,3503.616,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : Skill level 1 ~ low,47.312,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : Not elsewhere classified,131.054,"(15, None)"
2017,Sex: Male,Age : 15-24,Occupation : Skill levels 3 and 4 ~ high,68.09,"(15, 24)"
2017,Sex: Male,Age : 15-24,Occupation : Skill level 2 ~ medium,666.884,"(15, 24)"
2017,Sex: Male,Age : 15-24,Occupation : Skill level 1 ~ low,6.596,"(15, 24)"
2017,Sex: Male,Age : 15-24,Occupation : Not elsewhere classified,40.934,"(15, 24)"
2017,Sex: Male,Age : 25+,Occupation : Skill levels 3 and 4 ~ high,768.117,"(25, None)"
2017,Sex: Male,Age : 25+,Occupation : Skill level 2 ~ medium,2836.732,"(25, None)"
2017,Sex: Male,Age : 25+,Occupation : Skill level 1 ~ low,40.716,"(25, None)"
2017,Sex: Male,Age : 25+,Occupation : Not elsewhere classified,90.12,"(25, None)"
2017,Sex: Female,Age : 15+,Occupation : Skill levels 3 and 4 ~ high,1456.074,"(15, None)"
2017,Sex: Female,Age : 15+,Occupation : Skill level 2 ~ medium,2161.249,"(15, None)"
2017,Sex: Female,Age : 15+,Occupation : Skill level 1 ~ low,8.507,"(15, None)"
2017,Sex: Female,Age : 15+,Occupation : Not elsewhere classified,40.301,"(15, None)"
2017,Sex: Female,Age : 15-24,Occupation : Skill levels 3 and 4 ~ high,80.194,"(15, 24)"
2017,Sex: Female,Age : 15-24,Occupation : Skill level 2 ~ medium,350.158,"(15, 24)"
2017,Sex: Female,Age : 15-24,Occupation : Skill level 1 ~ low,2.834,"(15, 24)"
2017,Sex: Female,Age : 15-24,Occupation : Not elsewhere classified,10.235,"(15, 24)"
2017,Sex: Female,Age : 25+,Occupation : Skill levels 3 and 4 ~ high,1375.88,"(25, None)"
2017,Sex: Female,Age : 25+,Occupation : Skill level 2 ~ medium,1811.091,"(25, None)"
2017,Sex: Female,Age : 25+,Occupation : Skill level 1 ~ low,5.673,"(25, None)"
2017,Sex: Female,Age : 25+,Occupation : Not elsewhere classified,30.066,"(25, None)"
2017,Sex: Male,Age : 15+,"Occupation : 1. Legislators, senior officials and managers",273.471,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : 2. Professionals,562.736,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : 4. Clerks,286.095,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : 5. Service workers and shop and market sales workers,1410.293,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : 6. Skilled agricultural and fishery workers,338.645,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : 8. Plant and machine operators and assemblers,1468.583,"(15, None)"
2017,Sex: Male,Age : 15+,Occupation : 9. Elementary occupations,47.312,"(15, None)"
