time,sex,classif1,classif2,obs_value,age_extracted
2020,Sex: Male,Age : 15+,nan,8186.627,"(15, None)"
2020,Sex: Male,Age : 15-24,nan,1031.951,"(15, 24)"
2020,Sex: Male,Age : 25+,nan,7154.676,"(25, None)"
2020,Sex: Female,Age : 15+,nan,5364.778,"(15, None)"
2020,Sex: Female,Age : 15-24,nan,599.721,"(15, 24)"
2020,Sex: Female,Age : 25+,nan,4765.057,"(25, None)"
2020,Sex: Male,Age : <15,nan,24.433,"(15, 15)"
2020,Sex: Male,Age : 15-24,nan,1031.951,"(15, 24)"
2020,Sex: Female,Age : <15,nan,4.304,"(15, 15)"
2020,Sex: Female,Age : 15-24,nan,599.721,"(15, 24)"
2020,Sex: Male,Age : <15,nan,24.433,"(15, 15)"
2020,Sex: Male,Age : 15-24,nan,1031.951,"(15, 24)"
2020,Sex: Female,Age : <15,nan,4.304,"(15, 15)"
2020,Sex: Female,Age : 15-24,nan,599.721,"(15, 24)"
2020,Sex: Male,Age : 15-19,nan,255.075,"(15, 19)"
2020,Sex: Male,Age : 20-24,nan,776.876,"(20, 24)"
2020,Sex: Male,Age : 25-29,nan,962.337,"(25, 29)"
2020,Sex: Female,Age : 15-19,nan,141.956,"(15, 19)"
2020,Sex: Female,Age : 20-24,nan,457.765,"(20, 24)"
2020,Sex: Female,Age : 25-29,nan,674.881,"(25, 29)"
2019,Sex: Male,Age : 15+,nan,8886.694,"(15, None)"
2019,Sex: Male,Age : 15-24,nan,1125.449,"(15, 24)"
2019,Sex: Male,Age : 25+,nan,7761.245,"(25, None)"
2019,Sex: Female,Age : 15+,nan,5767.374,"(15, None)"
2019,Sex: Female,Age : 15-24,nan,561.494,"(15, 24)"
2019,Sex: Female,Age : 25+,nan,5205.88,"(25, None)"
2019,Sex: Male,Age : <15,nan,17.596,"(15, 15)"
2019,Sex: Male,Age : 15-24,nan,1125.449,"(15, 24)"
2019,Sex: Female,Age : <15,nan,2.613,"(15, 15)"
2019,Sex: Female,Age : 15-24,nan,561.494,"(15, 24)"
2019,Sex: Male,Age : <15,nan,17.596,"(15, 15)"
2019,Sex: Male,Age : 15-24,nan,1125.449,"(15, 24)"
2019,Sex: Female,Age : <15,nan,2.613,"(15, 15)"
2019,Sex: Female,Age : 15-24,nan,561.494,"(15, 24)"
2019,Sex: Male,Age : 15-19,nan,275.808,"(15, 19)"
2019,Sex: Male,Age : 20-24,nan,849.641,"(20, 24)"
2019,Sex: Male,Age : 25-29,nan,1075.924,"(25, 29)"
2019,Sex: Female,Age : 15-19,nan,119.498,"(15, 19)"
2019,Sex: Female,Age : 20-24,nan,441.996,"(20, 24)"
2019,Sex: Female,Age : 25-29,nan,718.908,"(25, 29)"
