time,sex,classif1,classif2,obs_value,age_extracted
2017,Sex: Male,Age : 15+,Education : Less than basic,221.303,"(15, None)"
2017,Sex: Male,Age : 15+,Education : Basic,3631.321,"(15, None)"
2017,Sex: Male,Age : 15+,Education : Intermediate,2962.044,"(15, None)"
2017,Sex: Male,Age : 15+,Education : Advanced,2280.221,"(15, None)"
2017,Sex: Male,Age : 15+,Education : Level not stated,10.287,"(15, None)"
2017,Sex: Male,Age : 15-24,Education : Less than basic,20.45,"(15, 24)"
2017,Sex: Male,Age : 15-24,Education : Basic,505.359,"(15, 24)"
2017,Sex: Male,Age : 15-24,Education : Intermediate,638.794,"(15, 24)"
2017,Sex: Male,Age : 15-24,Education : Advanced,312.441,"(15, 24)"
2017,Sex: Male,Age : 25+,Education : Less than basic,200.853,"(25, None)"
2017,Sex: Male,Age : 25+,Education : Basic,3125.962,"(25, None)"
2017,Sex: Male,Age : 25+,Education : Intermediate,2323.25,"(25, None)"
2017,Sex: Male,Age : 25+,Education : Advanced,1967.78,"(25, None)"
2017,Sex: Male,Age : 25+,Education : Level not stated,9.369,"(25, None)"
2017,Sex: Female,Age : 15+,Education : Less than basic,84.909,"(15, None)"
2017,Sex: Female,Age : 15+,Education : Basic,1638.358,"(15, None)"
2017,Sex: Female,Age : 15+,Education : Intermediate,1764.373,"(15, None)"
2017,Sex: Female,Age : 15+,Education : Advanced,2755.19,"(15, None)"
2017,Sex: Female,Age : 15+,Education : Level not stated,6.982,"(15, None)"
2017,Sex: Female,Age : 15-24,Education : Less than basic,3.699,"(15, 24)"
2017,Sex: Female,Age : 15-24,Education : Basic,158.094,"(15, 24)"
2017,Sex: Female,Age : 15-24,Education : Intermediate,317.836,"(15, 24)"
2017,Sex: Female,Age : 15-24,Education : Advanced,314.089,"(15, 24)"
2017,Sex: Female,Age : 25+,Education : Less than basic,81.21,"(25, None)"
2017,Sex: Female,Age : 25+,Education : Basic,1480.264,"(25, None)"
2017,Sex: Female,Age : 25+,Education : Intermediate,1446.537,"(25, None)"
2017,Sex: Female,Age : 25+,Education : Advanced,2441.101,"(25, None)"
2017,Sex: Female,Age : 25+,Education : Level not stated,5.41,"(25, None)"
2017,Sex: Male,Age : 15+,Education : X. No schooling,221.303,"(15, None)"
2017,Sex: Male,Age : 15+,Education : 1. Primary education,2256.924,"(15, None)"
