time,sex,classif1,classif2,obs_value,age_extracted
2025,Sex: Male,"Age (Youth, adults): 15+",nan,7803.916,"(15, None)"
2025,Sex: Male,"Age (Youth, adults): 15-24",nan,1123.78,"(15, 24)"
2025,Sex: Male,"Age (Youth, adults): 25+",nan,6680.137,"(25, None)"
2025,Sex: Female,"Age (Youth, adults): 15+",nan,4678.094,"(15, None)"
2025,Sex: Female,"Age (Youth, adults): 15-24",nan,435.064,"(15, 24)"
2025,Sex: Female,"Age (Youth, adults): 25+",nan,4243.029,"(25, None)"
2024,Sex: Male,"Age (Youth, adults): 15+",nan,7557.843,"(15, None)"
2024,Sex: Male,"Age (Youth, adults): 15-24",nan,1063.342,"(15, 24)"
2024,Sex: Male,"Age (Youth, adults): 25+",nan,6494.501,"(25, None)"
2024,Sex: Female,"Age (Youth, adults): 15+",nan,4483.363,"(15, None)"
2024,Sex: Female,"Age (Youth, adults): 15-24",nan,416.246,"(15, 24)"
2024,Sex: Female,"Age (Youth, adults): 25+",nan,4067.117,"(25, None)"
2023,Sex: Male,"Age (Youth, adults): 15+",nan,7292.676,"(15, None)"
2023,Sex: Male,"Age (Youth, adults): 15-24",nan,987.366,"(15, 24)"
2023,Sex: Male,"Age (Youth, adults): 25+",nan,6305.31,"(25, None)"
2023,Sex: Female,"Age (Youth, adults): 15+",nan,4255.602,"(15, None)"
2023,Sex: Female,"Age (Youth, adults): 15-24",nan,392.281,"(15, 24)"
2023,Sex: Female,"Age (Youth, adults): 25+",nan,3863.32,"(25, None)"
2022,Sex: Male,"Age (Youth, adults): 15+",nan,6995.212,"(15, None)"
2022,Sex: Male,"Age (Youth, adults): 15-24",nan,893.868,"(15, 24)"
2022,Sex: Male,"Age (Youth, adults): 25+",nan,6101.344,"(25, None)"
2022,Sex: Female,"Age (Youth, adults): 15+",nan,3973.225,"(15, None)"
2022,Sex: Female,"Age (Youth, adults): 15-24",nan,362.277,"(15, 24)"
2022,Sex: Female,"Age (Youth, adults): 25+",nan,3610.948,"(25, None)"
2022,Sex: Male,Age (Aggregate bands): 15-24,nan,893.867,"(15, 24)"
2022,Sex: Female,Age (Aggregate bands): 15-24,nan,362.277,"(15, 24)"
2021,Sex: Male,"Age (Youth, adults): 15+",nan,6362.99,"(15, None)"
