time,sex,classif1,classif2,obs_value,age_extracted
2017,,Age : 15+,"Economic activity , 2 digit level: 01 - Agriculture, hunting and related service activities",38.88,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 02 - Forestry, logging and related service activities",37.72,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 05 - Fishing, aquaculture and service activities incidental to fishing",43.06,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 10 - Mining of coal and lignite; extraction of peat",47.26,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 11 - Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying",41.71,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 13 - Mining of metal ores",42.57,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 14 - Other mining and quarrying",37.57,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 15 - Manufacture of food products and beverages",39.18,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 16 - Manufacture of tobacco products",41.44,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 17 - Manufacture of textiles",35.38,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 18 - Manufacture of wearing apparel; dressing and dyeing of fur",32.9,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 19 - Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",39.85,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 20 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",40.49,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 21 - Manufacture of paper and paper products",40.06,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 22 - Publishing, printing and reproduction of recorded media",39.96,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 24 - Manufacture of chemicals and chemical products",40.85,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 25 - Manufacture of rubber and plastics products",40.09,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 26 - Manufacture of other non-metallic mineral products",40.27,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 27 - Manufacture of basic metals",41.38,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 28 - Manufacture of fabricated metal products, except machinery and equipment",40.49,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 29 - Manufacture of machinery and equipment n.e.c.",38.98,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 34 - Manufacture of motor vehicles, trailers and semi-trailers",39.82,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 36 - Manufacture of furniture; manufacturing n.e.c.",33.45,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 40 - Electricity, gas, steam and hot water supply",38.51,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 41 - Collection, purification and distribution of water",39.59,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 45 - Construction",39.07,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 51 - Wholesale trade and commission trade, except of motor vehicles and motorcycles",40.42,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 52 - Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",37.58,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 55 - Hotels and restaurants",38.84,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 60 - Land transport; transport via pipelines",41.76,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 61 - Water transport",43.97,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 62 - Air transport",40.39,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 63 - Supporting and auxiliary transport activities; activities of travel agencies",38.02,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 64 - Post and telecommunications",39.76,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 65 - Financial intermediation, except insurance and pension funding",39.21,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 66 - Insurance and pension funding, except compulsory social security",39.2,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 70 - Real estate activities",39.81,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 71 - Renting of machinery and equipment without operator and of personal and household goods",34.76,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 75 - Public administration and defence; compulsory social security",40.09,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 80 - Education",36.92,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 85 - Health and social work",39.47,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 90 - Sewage and refuse disposal, sanitation and similar activities",39.68,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 91 - Activities of membership organizations n.e.c.",37.84,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 92 - Recreational, cultural and sporting activities",37.24,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 93 - Other service activities",37.67,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 95 - Activities of private households as employers of domestic staff",33.87,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: 99 - Extraterritorial organizations and bodies",38.75,"(15, None)"
2017,,Age : 15+,"Economic activity , 2 digit level: Not elsewhere classified",38.09,"(15, None)"
