time,sex,classif1,classif2,obs_value,age_extracted
2017,Sex: Male,Age : 15+,Institutional sector: Public,40.38,"(15, None)"
2017,Sex: Male,Age : 15+,Institutional sector: Private,40.32,"(15, None)"
2017,Sex: Male,Age : 15-24,Institutional sector: Public,41.04,"(15, 24)"
2017,Sex: Male,Age : 15-24,Institutional sector: Private,39.11,"(15, 24)"
2017,Sex: Male,Age : 25+,Institutional sector: Public,40.31,"(25, None)"
2017,Sex: Male,Age : 25+,Institutional sector: Private,40.64,"(25, None)"
2017,Sex: Female,Age : 15+,Institutional sector: Public,38.42,"(15, None)"
2017,Sex: Female,Age : 15+,Institutional sector: Private,38.95,"(15, None)"
2017,Sex: Female,Age : 15-24,Institutional sector: Public,39.15,"(15, 24)"
2017,Sex: Female,Age : 15-24,Institutional sector: Private,38.43,"(15, 24)"
2017,Sex: Female,Age : 25+,Institutional sector: Public,38.37,"(25, None)"
2017,Sex: Female,Age : 25+,Institutional sector: Private,39.07,"(25, None)"
2017,Sex: Male,Age : 15-24,Institutional sector: Public,41.04,"(15, 24)"
2017,Sex: Male,Age : 15-24,Institutional sector: Private,39.11,"(15, 24)"
2017,Sex: Female,Age : 15-24,Institutional sector: Public,39.15,"(15, 24)"
2017,Sex: Female,Age : 15-24,Institutional sector: Private,38.43,"(15, 24)"
2017,Sex: Male,Age : 15-24,Institutional sector: Public,41.04,"(15, 24)"
2017,Sex: Male,Age : 15-24,Institutional sector: Private,39.11,"(15, 24)"
2017,Sex: Female,Age : 15-24,Institutional sector: Public,39.15,"(15, 24)"
2017,Sex: Female,Age : 15-24,Institutional sector: Private,38.43,"(15, 24)"
2016,Sex: Male,Age : 15+,Institutional sector: Public,40.47,"(15, None)"
2016,Sex: Male,Age : 15+,Institutional sector: Private,40.54,"(15, None)"
2016,Sex: Male,Age : 15-24,Institutional sector: Public,40.75,"(15, 24)"
2016,Sex: Male,Age : 15-24,Institutional sector: Private,38.93,"(15, 24)"
2016,Sex: Male,Age : 25+,Institutional sector: Public,40.45,"(25, None)"
2016,Sex: Male,Age : 25+,Institutional sector: Private,40.96,"(25, None)"
2016,Sex: Female,Age : 15+,Institutional sector: Public,37.62,"(15, None)"
2016,Sex: Female,Age : 15+,Institutional sector: Private,38.75,"(15, None)"
