time,sex,classif1,classif2,obs_value,age_extracted
2017,Sex: Male,Age : 15+,nan,1408.385,"(15, None)"
2017,Sex: Male,Age : 15-24,nan,134.484,"(15, 24)"
2017,Sex: Male,Age : 25+,nan,1273.901,"(25, None)"
2017,Sex: Female,Age : 15+,nan,1706.049,"(15, None)"
2017,Sex: Female,Age : 15-24,nan,95.261,"(15, 24)"
2017,Sex: Female,Age : 25+,nan,1610.788,"(25, None)"
2017,Sex: Male,Age : 15-24,nan,134.484,"(15, 24)"
2017,Sex: Female,Age : 15-24,nan,95.261,"(15, 24)"
2016,Sex: Male,Age : 15+,nan,1302.742,"(15, None)"
2016,Sex: Male,Age : 15-24,nan,92.594,"(15, 24)"
2016,Sex: Male,Age : 25+,nan,1210.148,"(25, None)"
2016,Sex: Female,Age : 15+,nan,1519.774,"(15, None)"
2016,Sex: Female,Age : 15-24,nan,62.512,"(15, 24)"
2016,Sex: Female,Age : 25+,nan,1457.262,"(25, None)"
2016,Sex: Male,Age : 15-24,nan,92.594,"(15, 24)"
2016,Sex: Female,Age : 15-24,nan,62.512,"(15, 24)"
2012,Sex: Male,Age : 15+,nan,1136.63,"(15, None)"
2012,Sex: Male,Age : 15-24,nan,107.924,"(15, 24)"
2012,Sex: Male,Age : 25+,nan,1028.706,"(25, None)"
2012,Sex: Female,Age : 15+,nan,1398.544,"(15, None)"
2012,Sex: Female,Age : 15-24,nan,83.888,"(15, 24)"
2012,Sex: Female,Age : 25+,nan,1314.656,"(25, None)"
2012,Sex: Male,Age : 15-24,nan,107.924,"(15, 24)"
2012,Sex: Female,Age : 15-24,nan,83.888,"(15, 24)"
2011,Sex: Male,Age : 15+,nan,1068.543,"(15, None)"
2011,Sex: Male,Age : 15-24,nan,101.042,"(15, 24)"
2011,Sex: Male,Age : 25+,nan,967.501,"(25, None)"
2011,Sex: Female,Age : 15+,nan,1350.613,"(15, None)"
2011,Sex: Female,Age : 15-24,nan,86.772,"(15, 24)"
2011,Sex: Female,Age : 25+,nan,1263.842,"(25, None)"
2011,Sex: Male,Age : 15-24,nan,101.042,"(15, 24)"
2011,Sex: Female,Age : 15-24,nan,86.772,"(15, 24)"
2010,Sex: Male,Age : 15+,nan,997.68,"(15, None)"
2010,Sex: Male,Age : 15-24,nan,99.706,"(15, 24)"
2010,Sex: Male,Age : 25+,nan,897.974,"(25, None)"
2010,Sex: Female,Age : 15+,nan,1294.014,"(15, None)"
2010,Sex: Female,Age : 15-24,nan,91.076,"(15, 24)"
2010,Sex: Female,Age : 25+,nan,1202.938,"(25, None)"
2010,Sex: Male,Age : 15-24,nan,99.706,"(15, 24)"
2010,Sex: Female,Age : 15-24,nan,91.076,"(15, 24)"
2009,Sex: Male,Age : 15+,nan,979.478,"(15, None)"
2009,Sex: Male,Age : 15-24,nan,109.636,"(15, 24)"
2009,Sex: Male,Age : 25+,nan,869.842,"(25, None)"
2009,Sex: Female,Age : 15+,nan,1283.332,"(15, None)"
2009,Sex: Female,Age : 15-24,nan,119.99,"(15, 24)"
2009,Sex: Female,Age : 25+,nan,1163.342,"(25, None)"
2009,Sex: Male,Age : 15-24,nan,109.636,"(15, 24)"
2009,Sex: Female,Age : 15-24,nan,119.99,"(15, 24)"
2008,Sex: Male,Age : 15+,nan,894.003,"(15, None)"
2008,Sex: Male,Age : 15-24,nan,91.341,"(15, 24)"
2008,Sex: Male,Age : 25+,nan,802.662,"(25, None)"
2008,Sex: Female,Age : 15+,nan,1201.627,"(15, None)"
2008,Sex: Female,Age : 15-24,nan,103.818,"(15, 24)"
2008,Sex: Female,Age : 25+,nan,1097.809,"(25, None)"
2008,Sex: Male,Age : 15-24,nan,91.341,"(15, 24)"
2008,Sex: Female,Age : 15-24,nan,103.818,"(15, 24)"
2007,Sex: Male,Age : 15+,nan,840.083,"(15, None)"
2007,Sex: Male,Age : 15-24,nan,86.813,"(15, 24)"
2007,Sex: Male,Age : 25+,nan,753.27,"(25, None)"
2007,Sex: Female,Age : 15+,nan,1107.542,"(15, None)"
2007,Sex: Female,Age : 15-24,nan,91.538,"(15, 24)"
2007,Sex: Female,Age : 25+,nan,1016.003,"(25, None)"
2007,Sex: Male,Age : 15-24,nan,86.813,"(15, 24)"
2007,Sex: Female,Age : 15-24,nan,91.538,"(15, 24)"
2006,Sex: Male,Age : 15+,nan,781.051,"(15, None)"
2006,Sex: Male,Age : 15-24,nan,79.674,"(15, 24)"
2006,Sex: Male,Age : 25+,nan,701.376,"(25, None)"
2006,Sex: Female,Age : 15+,nan,1053.717,"(15, None)"
2006,Sex: Female,Age : 15-24,nan,89.416,"(15, 24)"
2006,Sex: Female,Age : 25+,nan,964.301,"(25, None)"
2006,Sex: Male,Age : 15-24,nan,79.674,"(15, 24)"
2006,Sex: Female,Age : 15-24,nan,89.416,"(15, 24)"
2005,Sex: Male,Age : 15+,nan,706.267,"(15, None)"
2005,Sex: Male,Age : 15-24,nan,70.968,"(15, 24)"
2005,Sex: Male,Age : 25+,nan,635.299,"(25, None)"
2005,Sex: Female,Age : 15+,nan,933.206,"(15, None)"
2005,Sex: Female,Age : 15-24,nan,79.597,"(15, 24)"
2005,Sex: Female,Age : 25+,nan,853.61,"(25, None)"
2005,Sex: Male,Age : 15-24,nan,70.968,"(15, 24)"
2005,Sex: Female,Age : 15-24,nan,79.597,"(15, 24)"
