time,sex,classif1,classif2,obs_value,age_extracted
2020,Sex: Male,"Age (Youth, adults): 15+",nan,12142.3,"(15, None)"
2020,Sex: Male,"Age (Youth, adults): 15-24",nan,2563.943,"(15, 24)"
2020,Sex: Male,"Age (Youth, adults): 25+",nan,9578.357,"(25, None)"
2020,Sex: Female,"Age (Youth, adults): 15+",nan,12328.985,"(15, None)"
2020,Sex: Female,"Age (Youth, adults): 15-24",nan,2517.194,"(15, 24)"
2020,Sex: Female,"Age (Youth, adults): 25+",nan,9811.791,"(25, None)"
2020,Sex: Male,Age (Aggregate bands): <15,nan,1491.699,"(15, 15)"
2020,Sex: Male,Age (Aggregate bands): 15-24,nan,2563.943,"(15, 24)"
2020,Sex: Female,Age (Aggregate bands): <15,nan,1419.733,"(15, 15)"
2020,Sex: Female,Age (Aggregate bands): 15-24,nan,2517.194,"(15, 24)"
2020,Sex: Male,Age (10-year bands): <15,nan,1491.699,"(15, 15)"
2020,Sex: Male,Age (10-year bands): 15-24,nan,2563.943,"(15, 24)"
2020,Sex: Female,Age (10-year bands): <15,nan,1419.733,"(15, 15)"
2020,Sex: Female,Age (10-year bands): 15-24,nan,2517.194,"(15, 24)"
2020,Sex: Male,Age (5-year bands): 15-19,nan,1323.535,"(15, 19)"
2020,Sex: Male,Age (5-year bands): 20-24,nan,1240.408,"(20, 24)"
2020,Sex: Male,Age (5-year bands): 25-29,nan,1209.795,"(25, 29)"
2020,Sex: Female,Age (5-year bands): 15-19,nan,1297.276,"(15, 19)"
2020,Sex: Female,Age (5-year bands): 20-24,nan,1219.918,"(20, 24)"
2020,Sex: Female,Age (5-year bands): 25-29,nan,1335.217,"(25, 29)"
2017,Sex: Male,"Age (Youth, adults): 15+",nan,11470.544,"(15, None)"
2017,Sex: Male,"Age (Youth, adults): 15-24",nan,2759.851,"(15, 24)"
2017,Sex: Male,"Age (Youth, adults): 25+",nan,8710.693,"(25, None)"
2017,Sex: Female,"Age (Youth, adults): 15+",nan,11652.072,"(15, None)"
2017,Sex: Female,"Age (Youth, adults): 15-24",nan,2629.61,"(15, 24)"
2017,Sex: Female,"Age (Youth, adults): 25+",nan,9022.462,"(25, None)"
2017,Sex: Male,Age (Aggregate bands): 15-24,nan,2759.851,"(15, 24)"
2017,Sex: Female,Age (Aggregate bands): 15-24,nan,2629.61,"(15, 24)"
2017,Sex: Male,Age (10-year bands): 15-24,nan,2759.851,"(15, 24)"
2017,Sex: Female,Age (10-year bands): 15-24,nan,2629.61,"(15, 24)"
2017,Sex: Male,Age (5-year bands): 15-19,nan,1405.772,"(15, 19)"
2017,Sex: Male,Age (5-year bands): 20-24,nan,1354.079,"(20, 24)"
2017,Sex: Male,Age (5-year bands): 25-29,nan,1315.843,"(25, 29)"
2017,Sex: Female,Age (5-year bands): 15-19,nan,1331.611,"(15, 19)"
2017,Sex: Female,Age (5-year bands): 20-24,nan,1297.999,"(20, 24)"
2017,Sex: Female,Age (5-year bands): 25-29,nan,1283.211,"(25, 29)"
2016,Sex: Male,"Age (Youth, adults): 15+",nan,11164.025,"(15, None)"
2016,Sex: Male,"Age (Youth, adults): 15-24",nan,2736.641,"(15, 24)"
2016,Sex: Male,"Age (Youth, adults): 25+",nan,8427.384,"(25, None)"
2016,Sex: Female,"Age (Youth, adults): 15+",nan,11338.0,"(15, None)"
2016,Sex: Female,"Age (Youth, adults): 15-24",nan,2610.679,"(15, 24)"
