time,sex,classif1,classif2,obs_value,age_extracted
2017,Sex: Male,Age : 15-29,Occupation : Skill levels 3 and 4 ~ high,231.667,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : Skill level 2 ~ medium,2090.832,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : Skill level 1 ~ low,19.254,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : Not elsewhere classified,95.793,"(15, 29)"
2017,Sex: Male,Age : 15-19,Occupation : Skill levels 3 and 4 ~ high,20.745,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : Skill level 2 ~ medium,352.972,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : Skill level 1 ~ low,2.746,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : Not elsewhere classified,23.28,"(15, 19)"
2017,Sex: Male,Age : 20-24,Occupation : Skill levels 3 and 4 ~ high,63.879,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : Skill level 2 ~ medium,811.841,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : Skill level 1 ~ low,8.378,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : Not elsewhere classified,38.726,"(20, 24)"
2017,Sex: Male,Age : 25-29,Occupation : Skill levels 3 and 4 ~ high,147.043,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : Skill level 2 ~ medium,926.019,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : Skill level 1 ~ low,8.13,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : Not elsewhere classified,33.787,"(25, 29)"
2017,Sex: Female,Age : 15-29,Occupation : Skill levels 3 and 4 ~ high,310.163,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : Skill level 2 ~ medium,1055.34,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : Skill level 1 ~ low,4.457,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : Not elsewhere classified,27.874,"(15, 29)"
2017,Sex: Female,Age : 15-19,Occupation : Skill levels 3 and 4 ~ high,16.555,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : Skill level 2 ~ medium,173.441,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : Not elsewhere classified,4.587,"(15, 19)"
2017,Sex: Female,Age : 20-24,Occupation : Skill levels 3 and 4 ~ high,78.997,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : Skill level 2 ~ medium,388.531,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : Not elsewhere classified,11.686,"(20, 24)"
2017,Sex: Female,Age : 25-29,Occupation : Skill levels 3 and 4 ~ high,214.611,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : Skill level 2 ~ medium,493.368,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : Not elsewhere classified,11.601,"(25, 29)"
2017,Sex: Male,Age : 15-29,"Occupation : 1. Legislators, senior officials and managers",69.45,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : 2. Professionals,162.217,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : 4. Clerks,105.165,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : 5. Service workers and shop and market sales workers,837.747,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : 6. Skilled agricultural and fishery workers,328.737,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : 8. Plant and machine operators and assemblers,819.183,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : 9. Elementary occupations,19.254,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : 0. Armed forces,52.776,"(15, 29)"
2017,Sex: Male,Age : 15-29,Occupation : X. Not elsewhere classified,43.017,"(15, 29)"
2017,Sex: Male,Age : 15-19,"Occupation : 1. Legislators, senior officials and managers",7.717,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : 2. Professionals,13.028,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : 4. Clerks,13.725,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : 5. Service workers and shop and market sales workers,129.441,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : 6. Skilled agricultural and fishery workers,83.544,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : 8. Plant and machine operators and assemblers,126.262,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : 9. Elementary occupations,2.746,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : 0. Armed forces,5.557,"(15, 19)"
2017,Sex: Male,Age : 15-19,Occupation : X. Not elsewhere classified,17.723,"(15, 19)"
2017,Sex: Male,Age : 20-24,"Occupation : 1. Legislators, senior officials and managers",16.747,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : 2. Professionals,47.132,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : 4. Clerks,40.013,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : 5. Service workers and shop and market sales workers,336.78,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : 6. Skilled agricultural and fishery workers,127.915,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : 8. Plant and machine operators and assemblers,307.133,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : 9. Elementary occupations,8.378,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : 0. Armed forces,26.012,"(20, 24)"
2017,Sex: Male,Age : 20-24,Occupation : X. Not elsewhere classified,12.714,"(20, 24)"
2017,Sex: Male,Age : 25-29,"Occupation : 1. Legislators, senior officials and managers",44.986,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : 2. Professionals,102.057,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : 4. Clerks,51.427,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : 5. Service workers and shop and market sales workers,371.526,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : 6. Skilled agricultural and fishery workers,117.278,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : 8. Plant and machine operators and assemblers,385.788,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : 9. Elementary occupations,8.13,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : 0. Armed forces,21.207,"(25, 29)"
2017,Sex: Male,Age : 25-29,Occupation : X. Not elsewhere classified,12.58,"(25, 29)"
2017,Sex: Female,Age : 15-29,"Occupation : 1. Legislators, senior officials and managers",35.438,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : 2. Professionals,274.725,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : 4. Clerks,212.518,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : 5. Service workers and shop and market sales workers,676.972,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : 6. Skilled agricultural and fishery workers,39.199,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : 8. Plant and machine operators and assemblers,126.651,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : 9. Elementary occupations,4.457,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : 0. Armed forces,10.325,"(15, 29)"
2017,Sex: Female,Age : 15-29,Occupation : X. Not elsewhere classified,17.549,"(15, 29)"
2017,Sex: Female,Age : 15-19,"Occupation : 1. Legislators, senior officials and managers",2.355,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : 2. Professionals,14.2,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : 4. Clerks,20.131,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : 5. Service workers and shop and market sales workers,111.27,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : 6. Skilled agricultural and fishery workers,13.191,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : 8. Plant and machine operators and assemblers,28.849,"(15, 19)"
2017,Sex: Female,Age : 15-19,Occupation : X. Not elsewhere classified,3.666,"(15, 19)"
2017,Sex: Female,Age : 20-24,"Occupation : 1. Legislators, senior officials and managers",13.352,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : 2. Professionals,65.645,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : 4. Clerks,73.363,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : 5. Service workers and shop and market sales workers,256.148,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : 6. Skilled agricultural and fishery workers,11.087,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : 8. Plant and machine operators and assemblers,47.933,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : 0. Armed forces,5.611,"(20, 24)"
2017,Sex: Female,Age : 20-24,Occupation : X. Not elsewhere classified,6.075,"(20, 24)"
2017,Sex: Female,Age : 25-29,"Occupation : 1. Legislators, senior officials and managers",19.731,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : 2. Professionals,194.88,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : 4. Clerks,119.024,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : 5. Service workers and shop and market sales workers,309.554,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : 6. Skilled agricultural and fishery workers,14.921,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : 8. Plant and machine operators and assemblers,49.869,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : 0. Armed forces,3.793,"(25, 29)"
2017,Sex: Female,Age : 25-29,Occupation : X. Not elsewhere classified,7.808,"(25, 29)"
2016,Sex: Male,Age : 15-29,Occupation : Skill levels 3 and 4 ~ high,245.988,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : Skill level 2 ~ medium,1878.151,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : Skill level 1 ~ low,23.976,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : Not elsewhere classified,65.511,"(15, 29)"
2016,Sex: Male,Age : 15-19,Occupation : Skill levels 3 and 4 ~ high,7.274,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : Skill level 2 ~ medium,286.14,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : Skill level 1 ~ low,3.31,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : Not elsewhere classified,16.907,"(15, 19)"
2016,Sex: Male,Age : 20-24,Occupation : Skill levels 3 and 4 ~ high,67.368,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : Skill level 2 ~ medium,715.187,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : Skill level 1 ~ low,10.738,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : Not elsewhere classified,27.244,"(20, 24)"
2016,Sex: Male,Age : 25-29,Occupation : Skill levels 3 and 4 ~ high,171.346,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : Skill level 2 ~ medium,876.824,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : Skill level 1 ~ low,9.928,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : Not elsewhere classified,21.36,"(25, 29)"
2016,Sex: Female,Age : 15-29,Occupation : Skill levels 3 and 4 ~ high,346.804,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : Skill level 2 ~ medium,814.224,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : Skill level 1 ~ low,0.976,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : Not elsewhere classified,35.376,"(15, 29)"
2016,Sex: Female,Age : 15-19,Occupation : Skill levels 3 and 4 ~ high,10.538,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : Skill level 2 ~ medium,86.58,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : Not elsewhere classified,10.634,"(15, 19)"
2016,Sex: Female,Age : 20-24,Occupation : Skill levels 3 and 4 ~ high,86.228,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : Skill level 2 ~ medium,300.245,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : Not elsewhere classified,17.078,"(20, 24)"
2016,Sex: Female,Age : 25-29,Occupation : Skill levels 3 and 4 ~ high,250.038,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : Skill level 2 ~ medium,427.399,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : Not elsewhere classified,7.664,"(25, 29)"
2016,Sex: Male,Age : 15-29,"Occupation : 1. Legislators, senior officials and managers",71.447,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : 2. Professionals,174.541,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : 4. Clerks,102.632,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : 5. Service workers and shop and market sales workers,687.656,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : 6. Skilled agricultural and fishery workers,235.773,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : 8. Plant and machine operators and assemblers,852.09,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : 9. Elementary occupations,23.976,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : 0. Armed forces,39.672,"(15, 29)"
2016,Sex: Male,Age : 15-29,Occupation : X. Not elsewhere classified,25.839,"(15, 29)"
2016,Sex: Male,Age : 15-19,"Occupation : 1. Legislators, senior officials and managers",3.487,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : 2. Professionals,3.787,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : 4. Clerks,9.022,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : 5. Service workers and shop and market sales workers,91.016,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : 6. Skilled agricultural and fishery workers,63.24,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : 8. Plant and machine operators and assemblers,122.862,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : 9. Elementary occupations,3.31,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : 0. Armed forces,3.64,"(15, 19)"
2016,Sex: Male,Age : 15-19,Occupation : X. Not elsewhere classified,13.267,"(15, 19)"
2016,Sex: Male,Age : 20-24,"Occupation : 1. Legislators, senior officials and managers",20.406,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : 2. Professionals,46.962,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : 4. Clerks,43.836,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : 5. Service workers and shop and market sales workers,274.251,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : 6. Skilled agricultural and fishery workers,87.028,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : 8. Plant and machine operators and assemblers,310.072,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : 9. Elementary occupations,10.738,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : 0. Armed forces,18.958,"(20, 24)"
2016,Sex: Male,Age : 20-24,Occupation : X. Not elsewhere classified,8.286,"(20, 24)"
2016,Sex: Male,Age : 25-29,"Occupation : 1. Legislators, senior officials and managers",47.554,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : 2. Professionals,123.792,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : 4. Clerks,49.774,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : 5. Service workers and shop and market sales workers,322.389,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : 6. Skilled agricultural and fishery workers,85.505,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : 8. Plant and machine operators and assemblers,419.156,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : 9. Elementary occupations,9.928,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : 0. Armed forces,17.074,"(25, 29)"
2016,Sex: Male,Age : 25-29,Occupation : X. Not elsewhere classified,4.286,"(25, 29)"
2016,Sex: Female,Age : 15-29,"Occupation : 1. Legislators, senior officials and managers",39.36,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : 2. Professionals,307.444,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : 4. Clerks,202.846,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : 5. Service workers and shop and market sales workers,536.883,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : 6. Skilled agricultural and fishery workers,8.713,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : 8. Plant and machine operators and assemblers,65.782,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : 9. Elementary occupations,0.976,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : 0. Armed forces,4.421,"(15, 29)"
2016,Sex: Female,Age : 15-29,Occupation : X. Not elsewhere classified,30.955,"(15, 29)"
2016,Sex: Female,Age : 15-19,"Occupation : 1. Legislators, senior officials and managers",2.164,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : 2. Professionals,8.374,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : 4. Clerks,11.712,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : 5. Service workers and shop and market sales workers,65.427,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : 6. Skilled agricultural and fishery workers,2.38,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : 8. Plant and machine operators and assemblers,7.061,"(15, 19)"
2016,Sex: Female,Age : 15-19,Occupation : X. Not elsewhere classified,10.135,"(15, 19)"
2016,Sex: Female,Age : 20-24,"Occupation : 1. Legislators, senior officials and managers",10.06,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : 2. Professionals,76.168,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : 4. Clerks,70.901,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : 5. Service workers and shop and market sales workers,199.777,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : 6. Skilled agricultural and fishery workers,2.975,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : 8. Plant and machine operators and assemblers,26.592,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : 0. Armed forces,2.256,"(20, 24)"
2016,Sex: Female,Age : 20-24,Occupation : X. Not elsewhere classified,14.822,"(20, 24)"
2016,Sex: Female,Age : 25-29,"Occupation : 1. Legislators, senior officials and managers",27.136,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : 2. Professionals,222.902,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : 4. Clerks,120.233,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : 5. Service workers and shop and market sales workers,271.679,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : 6. Skilled agricultural and fishery workers,3.358,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : 8. Plant and machine operators and assemblers,32.129,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : 0. Armed forces,1.666,"(25, 29)"
2016,Sex: Female,Age : 25-29,Occupation : X. Not elsewhere classified,5.998,"(25, 29)"
2012,Sex: Male,Age : 15-29,Occupation : Skill levels 3 and 4 ~ high,208.838,"(15, 29)"
2012,Sex: Male,Age : 15-29,Occupation : Skill level 2 ~ medium,2051.184,"(15, 29)"
2012,Sex: Male,Age : 15-29,Occupation : Skill level 1 ~ low,15.896,"(15, 29)"
2012,Sex: Male,Age : 15-29,Occupation : Not elsewhere classified,27.706,"(15, 29)"
2012,Sex: Male,Age : 15-19,Occupation : Skill levels 3 and 4 ~ high,6.907,"(15, 19)"
2012,Sex: Male,Age : 15-19,Occupation : Skill level 2 ~ medium,361.468,"(15, 19)"
2012,Sex: Male,Age : 15-19,Occupation : Skill level 1 ~ low,1.701,"(15, 19)"
2012,Sex: Male,Age : 15-19,Occupation : Not elsewhere classified,2.528,"(15, 19)"
2012,Sex: Male,Age : 20-24,Occupation : Skill levels 3 and 4 ~ high,56.957,"(20, 24)"
