time,obs_value,Sex,Age (Youth bands),Education (Aggregate levels)
2017,4263.983, Total, 15-29, Total
2017,44.295, Total, 15-29, Less than basic
2017,1093.875, Total, 15-29, Basic
2017,1611.928, Total, 15-29, Intermediate
2017,1508.481, Total, 15-29, Advanced
2017,5.404, Total, 15-29, Level not stated
2017,690.734, Total, 15-19, Total
2017,10.428, Total, 15-19, Less than basic
2017,286.449, Total, 15-19, Basic
2017,316.223, Total, 15-19, Intermediate
2017,76.984, Total, 15-19, Advanced
2017,, Total, 15-19, Level not stated
2017,1582.518, Total, 20-24, Total
2017,13.721, Total, 20-24, Less than basic
2017,377.004, Total, 20-24, Basic
2017,640.407, Total, 20-24, Intermediate
2017,549.546, Total, 20-24, Advanced
2017,1.84, Total, 20-24, Level not stated
2017,1990.731, Total, 25-29, Total
2017,20.146, Total, 25-29, Less than basic
2017,430.422, Total, 25-29, Basic
2017,655.298, Total, 25-29, Intermediate
2017,881.951, Total, 25-29, Advanced
2017,2.914, Total, 25-29, Level not stated
2017,2666.43, Male, 15-29, Total
2017,35.884, Male, 15-29, Less than basic
2017,831.371, Male, 15-29, Basic
2017,1080.801, Male, 15-29, Intermediate
2017,714.542, Male, 15-29, Advanced
2017,3.832, Male, 15-29, Level not stated
2017,458.393, Male, 15-19, Total
2017,8.223, Male, 15-19, Less than basic
2017,218.554, Male, 15-19, Basic
2017,197.653, Male, 15-19, Intermediate
2017,33.963, Male, 15-19, Advanced
2017,, Male, 15-19, Level not stated
2017,1019.569, Male, 20-24, Total
2017,12.227, Male, 20-24, Less than basic
2017,286.805, Male, 20-24, Basic
2017,441.141, Male, 20-24, Intermediate
2017,278.478, Male, 20-24, Advanced
2017,, Male, 20-24, Level not stated
2017,1188.468, Male, 25-29, Total
2017,15.434, Male, 25-29, Less than basic
2017,326.012, Male, 25-29, Basic
2017,442.007, Male, 25-29, Intermediate
2017,402.101, Male, 25-29, Advanced
2017,2.914, Male, 25-29, Level not stated
2017,1597.553, Female, 15-29, Total
2017,8.411, Female, 15-29, Less than basic
2017,262.504, Female, 15-29, Basic
2017,531.127, Female, 15-29, Intermediate
2017,793.939, Female, 15-29, Advanced
2017,, Female, 15-29, Level not stated
2017,232.341, Female, 15-19, Total
2017,2.205, Female, 15-19, Less than basic
2017,67.895, Female, 15-19, Basic
2017,118.57, Female, 15-19, Intermediate
2017,43.021, Female, 15-19, Advanced
2017,, Female, 15-19, Level not stated
2017,562.949, Female, 20-24, Total
2017,, Female, 20-24, Less than basic
2017,90.199, Female, 20-24, Basic
2017,199.266, Female, 20-24, Intermediate
2017,271.068, Female, 20-24, Advanced
2017,, Female, 20-24, Level not stated
2017,802.263, Female, 25-29, Total
2017,4.712, Female, 25-29, Less than basic
2017,104.41, Female, 25-29, Basic
2017,213.291, Female, 25-29, Intermediate
2017,479.85, Female, 25-29, Advanced
2017,, Female, 25-29, Level not stated
2016,3769.585, Total, 15-29, Total
2016,30.256, Total, 15-29, Less than basic
2016,931.372, Total, 15-29, Basic
2016,1288.799, Total, 15-29, Intermediate
2016,1518.149, Total, 15-29, Advanced
2016,, Total, 15-29, Level not stated
2016,492.289, Total, 15-19, Total
2016,6.355, Total, 15-19, Less than basic
2016,232.251, Total, 15-19, Basic
2016,194.769, Total, 15-19, Intermediate
2016,58.914, Total, 15-19, Advanced
2016,1373.0, Total, 20-24, Total
2016,9.247, Total, 20-24, Less than basic
2016,319.978, Total, 20-24, Basic
2016,526.24, Total, 20-24, Intermediate
2016,517.364, Total, 20-24, Advanced
2016,, Total, 20-24, Level not stated
2016,1904.296, Total, 25-29, Total
2016,14.654, Total, 25-29, Less than basic
2016,379.143, Total, 25-29, Basic
2016,567.79, Total, 25-29, Intermediate
2016,941.871, Total, 25-29, Advanced
2016,, Total, 25-29, Level not stated
2016,2417.367, Male, 15-29, Total
2016,25.954, Male, 15-29, Less than basic
2016,746.521, Male, 15-29, Basic
2016,925.715, Male, 15-29, Intermediate
2016,718.551, Male, 15-29, Advanced
2016,, Male, 15-29, Level not stated
2016,358.9, Male, 15-19, Total
2016,5.501, Male, 15-19, Less than basic
2016,189.852, Male, 15-19, Basic
2016,136.568, Male, 15-19, Intermediate
2016,26.979, Male, 15-19, Advanced
2016,906.378, Male, 20-24, Total
2016,7.695, Male, 20-24, Less than basic
2016,258.033, Male, 20-24, Basic
2016,382.11, Male, 20-24, Intermediate
2016,258.54, Male, 20-24, Advanced
2016,, Male, 20-24, Level not stated
2016,1152.089, Male, 25-29, Total
2016,12.758, Male, 25-29, Less than basic
2016,298.636, Male, 25-29, Basic
2016,407.037, Male, 25-29, Intermediate
2016,433.032, Male, 25-29, Advanced
2016,, Male, 25-29, Level not stated
2016,1352.218, Female, 15-29, Total
2016,4.302, Female, 15-29, Less than basic
2016,184.851, Female, 15-29, Basic
2016,363.084, Female, 15-29, Intermediate
2016,799.598, Female, 15-29, Advanced
2016,, Female, 15-29, Level not stated
2016,133.389, Female, 15-19, Total
2016,0.854, Female, 15-19, Less than basic
2016,42.399, Female, 15-19, Basic
2016,58.201, Female, 15-19, Intermediate
2016,31.935, Female, 15-19, Advanced
2016,466.622, Female, 20-24, Total
2016,1.552, Female, 20-24, Less than basic
2016,61.945, Female, 20-24, Basic
2016,144.13, Female, 20-24, Intermediate
2016,258.824, Female, 20-24, Advanced
2016,, Female, 20-24, Level not stated
2016,752.207, Female, 25-29, Total
2016,1.896, Female, 25-29, Less than basic
2016,80.507, Female, 25-29, Basic
2016,160.753, Female, 25-29, Intermediate
2016,508.839, Female, 25-29, Advanced
