time,sex,classif1,classif2,obs_value,age_extracted
2017,Sex: Male,Age (Youth bands): 15-29,Education : Less than basic,28.179,"(15, 29)"
2017,Sex: Male,Age (Youth bands): 15-29,Education : Basic,417.596,"(15, 29)"
2017,Sex: Male,Age (Youth bands): 15-29,Education : Intermediate,598.361,"(15, 29)"
2017,Sex: Male,Age (Youth bands): 15-29,Education : Advanced,362.959,"(15, 29)"
2017,Sex: Male,Age (Youth bands): 15-29,Education : Level not stated,2.169,"(15, 29)"
2017,Sex: Male,Age (Youth bands): 15-19,Education : Less than basic,14.137,"(15, 19)"
2017,Sex: Male,Age (Youth bands): 15-19,Education : Basic,352.697,"(15, 19)"
2017,Sex: Male,Age (Youth bands): 15-19,Education : Intermediate,485.86,"(15, 19)"
2017,Sex: Male,Age (Youth bands): 15-19,Education : Advanced,94.685,"(15, 19)"
2017,Sex: Male,Age (Youth bands): 20-24,Education : Less than basic,8.107,"(20, 24)"
2017,Sex: Male,Age (Youth bands): 20-24,Education : Basic,39.178,"(20, 24)"
2017,Sex: Male,Age (Youth bands): 20-24,Education : Intermediate,80.827,"(20, 24)"
2017,Sex: Male,Age (Youth bands): 20-24,Education : Advanced,205.422,"(20, 24)"
2017,Sex: Male,Age (Youth bands): 25-29,Education : Less than basic,5.935,"(25, 29)"
2017,Sex: Male,Age (Youth bands): 25-29,Education : Basic,25.721,"(25, 29)"
2017,Sex: Male,Age (Youth bands): 25-29,Education : Intermediate,31.674,"(25, 29)"
2017,Sex: Male,Age (Youth bands): 25-29,Education : Advanced,62.852,"(25, 29)"
2017,Sex: Female,Age (Youth bands): 15-29,Education : Less than basic,28.647,"(15, 29)"
2017,Sex: Female,Age (Youth bands): 15-29,Education : Basic,636.949,"(15, 29)"
2017,Sex: Female,Age (Youth bands): 15-29,Education : Intermediate,959.555,"(15, 29)"
2017,Sex: Female,Age (Youth bands): 15-29,Education : Advanced,687.68,"(15, 29)"
2017,Sex: Female,Age (Youth bands): 15-29,Education : Level not stated,2.437,"(15, 29)"
