time,sex,classif1,classif2,obs_value,age_extracted
2017,Sex: Male,Age : 15-29,Educational attendance: Attending,1439.413,"(15, 29)"
2017,Sex: Male,Age : 15-29,Educational attendance: Not attending,2624.562,"(15, 29)"
2017,Sex: Male,Age : 15-29,Educational attendance: Not elsewhere classified,11.719,"(15, 29)"
2017,Sex: Male,Age : 15-19,Educational attendance: Attending,897.765,"(15, 19)"
2017,Sex: Male,Age : 15-19,Educational attendance: Not attending,506.531,"(15, 19)"
2017,Sex: Male,Age : 20-24,Educational attendance: Attending,403.384,"(20, 24)"
2017,Sex: Male,Age : 20-24,Educational attendance: Not attending,946.132,"(20, 24)"
2017,Sex: Male,Age : 20-24,Educational attendance: Not elsewhere classified,4.563,"(20, 24)"
2017,Sex: Male,Age : 25-29,Educational attendance: Attending,138.264,"(25, 29)"
2017,Sex: Male,Age : 25-29,Educational attendance: Not attending,1171.899,"(25, 29)"
2017,Sex: Male,Age : 25-29,Educational attendance: Not elsewhere classified,5.68,"(25, 29)"
2017,Sex: Female,Age : 15-29,Educational attendance: Attending,1533.127,"(15, 29)"
2017,Sex: Female,Age : 15-29,Educational attendance: Not attending,2373.458,"(15, 29)"
2017,Sex: Female,Age : 15-29,Educational attendance: Not elsewhere classified,6.236,"(15, 29)"
2017,Sex: Female,Age : 15-19,Educational attendance: Attending,896.147,"(15, 19)"
2017,Sex: Female,Age : 15-19,Educational attendance: Not attending,435.049,"(15, 19)"
2017,Sex: Female,Age : 20-24,Educational attendance: Attending,447.579,"(20, 24)"
2017,Sex: Female,Age : 20-24,Educational attendance: Not attending,848.962,"(20, 24)"
2017,Sex: Female,Age : 25-29,Educational attendance: Attending,189.401,"(25, 29)"
2017,Sex: Female,Age : 25-29,Educational attendance: Not attending,1089.447,"(25, 29)"
2017,Sex: Female,Age : 25-29,Educational attendance: Not elsewhere classified,4.363,"(25, 29)"
2016,Sex: Male,Age : 15-29,Educational attendance: Attending,1649.433,"(15, 29)"
2016,Sex: Male,Age : 15-29,Educational attendance: Not attending,2396.771,"(15, 29)"
2016,Sex: Male,Age : 15-29,Educational attendance: Not elsewhere classified,2.974,"(15, 29)"
2016,Sex: Male,Age : 15-19,Educational attendance: Attending,974.924,"(15, 19)"
2016,Sex: Male,Age : 15-19,Educational attendance: Not attending,417.218,"(15, 19)"
2016,Sex: Male,Age : 20-24,Educational attendance: Attending,473.213,"(20, 24)"
2016,Sex: Male,Age : 20-24,Educational attendance: Not attending,869.329,"(20, 24)"
2016,Sex: Male,Age : 25-29,Educational attendance: Attending,201.296,"(25, 29)"
2016,Sex: Male,Age : 25-29,Educational attendance: Not attending,1110.224,"(25, 29)"
2016,Sex: Female,Age : 15-29,Educational attendance: Attending,1789.335,"(15, 29)"
2016,Sex: Female,Age : 15-29,Educational attendance: Not attending,2104.185,"(15, 29)"
2016,Sex: Female,Age : 15-19,Educational attendance: Attending,985.975,"(15, 19)"
2016,Sex: Female,Age : 15-19,Educational attendance: Not attending,333.915,"(15, 19)"
2016,Sex: Female,Age : 20-24,Educational attendance: Attending,564.089,"(20, 24)"
2016,Sex: Female,Age : 20-24,Educational attendance: Not attending,726.213,"(20, 24)"
2016,Sex: Female,Age : 25-29,Educational attendance: Attending,239.271,"(25, 29)"
2016,Sex: Female,Age : 25-29,Educational attendance: Not attending,1044.057,"(25, 29)"
2012,Sex: Male,Age : 15-29,Educational attendance: Attending,1612.45,"(15, 29)"
2012,Sex: Male,Age : 15-29,Educational attendance: Not attending,2370.251,"(15, 29)"
2012,Sex: Male,Age : 15-19,Educational attendance: Attending,931.698,"(15, 19)"
2012,Sex: Male,Age : 15-19,Educational attendance: Not attending,440.511,"(15, 19)"
2012,Sex: Male,Age : 20-24,Educational attendance: Attending,481.308,"(20, 24)"
2012,Sex: Male,Age : 20-24,Educational attendance: Not attending,867.223,"(20, 24)"
2012,Sex: Male,Age : 25-29,Educational attendance: Attending,199.445,"(25, 29)"
2012,Sex: Male,Age : 25-29,Educational attendance: Not attending,1062.517,"(25, 29)"
2012,Sex: Female,Age : 15-29,Educational attendance: Attending,1825.266,"(15, 29)"
2012,Sex: Female,Age : 15-29,Educational attendance: Not attending,2058.002,"(15, 29)"
2012,Sex: Female,Age : 15-19,Educational attendance: Attending,981.804,"(15, 19)"
2012,Sex: Female,Age : 15-19,Educational attendance: Not attending,339.962,"(15, 19)"
2012,Sex: Female,Age : 20-24,Educational attendance: Attending,571.512,"(20, 24)"
2012,Sex: Female,Age : 20-24,Educational attendance: Not attending,742.66,"(20, 24)"
2012,Sex: Female,Age : 25-29,Educational attendance: Attending,271.951,"(25, 29)"
2012,Sex: Female,Age : 25-29,Educational attendance: Not attending,975.38,"(25, 29)"
2011,Sex: Male,Age : 15-29,Educational attendance: Attending,1601.604,"(15, 29)"
2011,Sex: Male,Age : 15-29,Educational attendance: Not attending,2354.816,"(15, 29)"
2011,Sex: Male,Age : 15-19,Educational attendance: Attending,933.166,"(15, 19)"
2011,Sex: Male,Age : 15-19,Educational attendance: Not attending,436.271,"(15, 19)"
2011,Sex: Male,Age : 20-24,Educational attendance: Attending,474.51,"(20, 24)"
2011,Sex: Male,Age : 20-24,Educational attendance: Not attending,872.546,"(20, 24)"
2011,Sex: Male,Age : 25-29,Educational attendance: Attending,193.929,"(25, 29)"
2011,Sex: Male,Age : 25-29,Educational attendance: Not attending,1045.999,"(25, 29)"
2011,Sex: Female,Age : 15-29,Educational attendance: Attending,1892.982,"(15, 29)"
2011,Sex: Female,Age : 15-29,Educational attendance: Not attending,1965.843,"(15, 29)"
2011,Sex: Female,Age : 15-19,Educational attendance: Attending,981.588,"(15, 19)"
2011,Sex: Female,Age : 15-19,Educational attendance: Not attending,337.728,"(15, 19)"
2011,Sex: Female,Age : 20-24,Educational attendance: Attending,597.298,"(20, 24)"
2011,Sex: Female,Age : 20-24,Educational attendance: Not attending,715.83,"(20, 24)"
2011,Sex: Female,Age : 25-29,Educational attendance: Attending,314.095,"(25, 29)"
2011,Sex: Female,Age : 25-29,Educational attendance: Not attending,912.286,"(25, 29)"
2010,Sex: Male,Age : 15-29,Educational attendance: Attending,1582.579,"(15, 29)"
2010,Sex: Male,Age : 15-29,Educational attendance: Not attending,2344.327,"(15, 29)"
2010,Sex: Male,Age : 15-19,Educational attendance: Attending,931.223,"(15, 19)"
2010,Sex: Male,Age : 15-19,Educational attendance: Not attending,435.608,"(15, 19)"
2010,Sex: Male,Age : 20-24,Educational attendance: Attending,462.058,"(20, 24)"
2010,Sex: Male,Age : 20-24,Educational attendance: Not attending,880.582,"(20, 24)"
2010,Sex: Male,Age : 25-29,Educational attendance: Attending,189.297,"(25, 29)"
2010,Sex: Male,Age : 25-29,Educational attendance: Not attending,1028.137,"(25, 29)"
2010,Sex: Female,Age : 15-29,Educational attendance: Attending,1898.073,"(15, 29)"
2010,Sex: Female,Age : 15-29,Educational attendance: Not attending,1934.15,"(15, 29)"
2010,Sex: Female,Age : 15-19,Educational attendance: Attending,988.762,"(15, 19)"
2010,Sex: Female,Age : 15-19,Educational attendance: Not attending,328.594,"(15, 19)"
2010,Sex: Female,Age : 20-24,Educational attendance: Attending,601.634,"(20, 24)"
2010,Sex: Female,Age : 20-24,Educational attendance: Not attending,707.982,"(20, 24)"
2010,Sex: Female,Age : 25-29,Educational attendance: Attending,307.678,"(25, 29)"
2010,Sex: Female,Age : 25-29,Educational attendance: Not attending,897.573,"(25, 29)"
2009,Sex: Male,Age : 15-29,Educational attendance: Attending,1350.02,"(15, 29)"
