"POBLACIÓN DE 15 AÑOS Y MAS, SEGÚN SITUACIÓN EN LA FUERZA DE TRABAJO, GRUPO DE EDAD Y SEXO"
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
DESOCUPADOS,"1,350,822","1,102,952","1,313,637","1,126,986","1,314,712","1,127,273","1,165,338"
15 - 24,"359,407","257,912","338,738","230,294","271,357","193,060","195,787"
25 - 44,"574,011","481,639","513,896","432,902","490,480","414,823","395,646"
45 - 64,"269,725","222,739","266,360","260,153","321,714","305,022","344,644"
65 Y MAS,"147,679","140,662","194,643","203,637","231,161","214,368","229,261"
INACTIVOS,"8,792,091","9,816,928","9,961,990","10,558,672","10,461,746","10,938,813","11,278,891"
15 - 24,"2,689,153","3,191,553","3,298,747","3,577,958","3,536,868","3,649,885","3,620,503"
25 - 44,"2,183,522","2,379,193","2,398,897","2,520,956","2,368,090","2,509,188","2,548,462"
45 - 64,"1,865,981","2,068,090","2,105,703","2,210,105","2,186,144","2,324,478","2,487,137"
65 Y MAS,"2,053,435","2,178,092","2,158,643","2,249,653","2,370,644","2,455,262","2,622,789"
