"POBLACIÓN DE 15 AÑOS Y MAS, SEGÚN SITUACIÓN EN LA FUERZA DE TRABAJO, GRUPO DE EDAD Y SEXO",,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
HOMBRES,"16,176,928","16,387,650","16,481,277","16,575,925","16,668,034","16,761,110","16,851,635"
15 AÑOS Y MAS,"11,975,086","12,142,300","12,241,480","12,342,649","12,439,534","12,593,591","12,635,957"
15 - 24,"2,350,942","2,563,943","2,659,677","2,766,155","2,784,784","2,791,218","2,666,296"
25 - 44,"5,286,540","5,186,364","5,120,112","5,044,119","5,061,307","5,099,993","5,204,545"
45 - 64,"3,074,125","3,086,588","3,126,739","3,143,044","3,129,649","3,197,230","3,220,099"
65 Y MAS,"1,263,479","1,305,405","1,334,952","1,389,331","1,463,794","1,505,150","1,545,017"
ACTIVA,"9,250,015","8,829,408","8,951,346","8,688,201","8,778,303","8,769,585","8,663,506"
15 - 24,"1,316,552","1,168,945","1,241,628","1,140,900","1,157,265","1,099,338","968,068"
25 - 44,"4,864,832","4,679,300","4,617,174","4,473,352","4,541,282","4,565,775","4,684,178"
45 - 64,"2,604,194","2,535,799","2,594,587","2,570,547","2,560,491","2,582,767","2,523,500"
65 Y MAS,"464,437","445,364","497,957","503,402","519,265","521,705","487,760"
OCUPADA,"8,454,514","8,186,627","8,190,482","8,045,274","8,058,482","8,149,575","8,004,471"
15 - 24,"1,124,005","1,031,951","1,051,865","1,017,614","1,006,108","1,004,962","878,662"
25 - 44,"4,530,048","4,403,984","4,319,480","4,230,007","4,283,767","4,346,462","4,455,413"
45 - 64,"2,432,996","2,395,627","2,442,579","2,418,477","2,389,318","2,405,176","2,317,124"
65 Y MAS,"367,465","355,065","376,558","379,176","379,289","392,975","353,272"
DESOCUPADA,"795,501","642,781","760,864","642,927","719,821","620,010","659,035"
15 - 24,"192,547","136,994","189,763","123,286","151,157","94,376","89,406"
25 - 44,"334,784","275,316","297,694","243,345","257,515","219,313","228,765"
45 - 64,"171,198","140,172","152,008","152,070","171,173","177,591","206,376"
65 Y MAS,"96,972","90,299","121,399","124,226","139,976","128,730","134,488"
INACTIVA,"2,725,071","3,312,892","3,290,134","3,654,448","3,661,231","3,824,006","3,972,451"
15 - 24,"1,034,390","1,394,998","1,418,049","1,625,255","1,627,519","1,691,880","1,698,228"
25 - 44,"421,708","507,064","502,938","570,767","520,025","534,218","520,367"
45 - 64,"469,931","550,789","532,152","572,497","569,158","614,463","696,599"
65 Y MAS,"799,042","860,041","836,995","885,929","944,529","983,445","1,057,257"
ESTUDIANTE,"710,343","940,108","999,231","1,129,090","1,159,618","1,225,138","1,283,218"
15 - 24,"664,667","881,646","939,987","1,062,029","1,095,866","1,168,036","1,238,552"
25 - 44,"44,387","57,199","57,916","65,535","62,774","56,179","42,803"
45 - 64,"1,289","1,263","1,102","1,221",759,694,754
65 Y MAS,0,0,226,305,219,229,"1,109"
15 - 24,"65,888","92,055","96,495","111,812","111,809","115,094","86,536"
25 - 44,"108,336","126,853","146,517","165,321","154,444","161,979","192,786"
45 - 64,"83,901","98,148","109,243","123,370","129,518","154,884","262,983"
65 Y MAS,"51,396","62,543","60,952","64,930","59,105","64,791","105,412"
15 - 24,"120,865","129,902","38,047","41,329","43,426","52,220","79,300"
25 - 44,"133,926","149,732","86,365","94,686","76,565","72,887","57,988"
45 - 64,"87,583","99,448","81,767","90,595","86,072","79,384","55,690"
65 Y MAS,"64,892","65,582","70,354","76,996","71,824","70,055","42,436"
15 - 24,"182,970","291,395","343,520","410,085","376,418","356,530","293,840"
25 - 44,"135,059","173,280","212,140","245,225","226,242","243,173","226,790"
45 - 64,"297,158","351,930","340,040","357,311","352,809","379,501","377,172"
65 Y MAS,"682,754","731,916","705,463","743,698","813,381","848,370","908,300"
MUJERES,"16,115,826","16,313,671","16,408,588","16,504,234","16,597,808","16,691,997","16,784,120"
15 AÑOS Y MAS,"12,169,452","12,328,985","12,429,904","12,532,815","12,632,784","12,788,891","12,833,768"
15 - 24,"2,437,736","2,517,194","2,603,010","2,636,996","2,651,058","2,655,195","2,629,124"
25 - 44,"5,100,699","5,065,617","4,997,255","4,973,282","5,004,406","5,047,395","5,043,128"
45 - 64,"3,165,276","3,209,566","3,248,823","3,291,974","3,274,361","3,363,173","3,368,859"
65 Y MAS,"1,465,741","1,536,608","1,580,816","1,630,563","1,702,959","1,723,128","1,792,657"
ACTIVA,"6,102,432","5,824,949","5,758,048","5,628,591","5,832,269","5,674,084","5,527,328"
15 - 24,"782,973","720,639","722,312","684,293","741,709","697,190","706,849"
25 - 44,"3,338,885","3,193,488","3,101,296","3,023,093","3,156,341","3,072,425","3,015,033"
45 - 64,"1,769,226","1,692,265","1,675,272","1,654,366","1,657,375","1,653,158","1,578,321"
65 Y MAS,"211,348","218,557","259,168","266,839","276,844","251,311","227,125"
OCUPADA,"5,547,111","5,364,778","5,205,275","5,144,532","5,237,378","5,166,821","5,021,025"
15 - 24,"616,113","599,721","573,337","577,285","621,509","598,506","600,468"
25 - 44,"3,099,658","2,987,165","2,885,094","2,833,536","2,923,376","2,876,915","2,848,152"
45 - 64,"1,670,699","1,609,698","1,560,920","1,546,283","1,506,834","1,525,727","1,440,053"
65 Y MAS,"160,641","168,194","185,924","187,428","185,659","165,673","132,352"
DESOCUPADA,"555,321","460,171","552,773","484,059","594,891","507,263","506,303"
15 - 24,"166,860","120,918","148,975","107,008","120,200","98,684","106,381"
