"POBLACIÓN DE 15 AÑOS Y MAS ECONÓMICAMENTE ACTIVA, SEGÚN RAMA DE ACTIVIDAD ECONÓMICA Y",,,,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
ACTIVOS ECONÓMICAMENTE,"15,352,447","14,654,357","14,709,394","14,316,792","14,610,572","14,443,669","14,190,834"
POBLACIÓN ACTIVA,"786,346","640,624","712,233","753,158","712,334","737,535","509,403"
OCUPADA,"757,916","620,702","686,907","727,508","682,977","712,576","493,003"
DESOCUPADA,"28,430","19,922","25,326","25,650","29,357","24,959","16,400"
POBLACIÓN ACTIVA,"1,376,651","1,199,010","1,318,417","1,372,171","1,367,832","1,309,367","1,136,372"
OCUPADA,"1,301,033","1,143,373","1,251,910","1,303,291","1,294,271","1,245,303","1,083,067"
DESOCUPADA,"75,618","55,637","66,507","68,880","73,561","64,064","53,305"
POBLACIÓN ACTIVA,"893,334","743,554","809,499","821,012","852,833","822,103","689,862"
OCUPADA,"807,351","684,424","741,040","758,341","778,760","759,177","642,794"
DESOCUPADA,"85,983","59,130","68,459","62,671","74,073","62,926","47,068"
POBLACIÓN ACTIVA,"4,036,651","3,367,067","3,580,830","3,580,911","3,655,676","3,716,469","3,628,627"
OCUPADA,"3,814,783","3,211,825","3,410,079","3,430,776","3,480,328","3,560,584","3,515,670"
DESOCUPADA,"221,868","155,242","170,751","150,135","175,348","155,885","112,957"
POBLACIÓN ACTIVA,"1,000,646","847,566","944,312","958,815","1,023,945","956,688","829,754"
OCUPADA,"939,799","802,166","899,722","910,257","970,928","910,781","806,198"
DESOCUPADA,"60,847","45,400","44,590","48,558","53,017","45,907","23,556"
POBLACIÓN ACTIVA,"1,091,421","947,892","921,894","977,371","966,390","963,940","934,866"
OCUPADA,"1,051,508","919,113","888,381","947,778","928,353","936,313","910,550"
DESOCUPADA,"39,913","28,779","33,513","29,593","38,037","27,627","24,316"
POBLACIÓN ACTIVA,"5,264,000","4,469,495","4,790,540","4,927,792","5,041,920","5,010,639","4,707,886"
OCUPADA,"5,073,018","4,331,203","4,613,751","4,754,355","4,825,557","4,825,461","4,576,581"
DESOCUPADA,"190,982","138,292","176,789","173,437","216,363","185,178","131,305"
POBLACIÓN ACTIVA,"79,628","66,207","84,162","87,116","86,433","80,377","94,561"
OCUPADA,"74,537","62,870","79,447","82,931","83,419","77,363","91,741"
DESOCUPADA,"5,091","3,337","4,715","4,185","3,014","3,014","2,820"
POBLACIÓN ACTIVA,"59,196","50,299","74,431","73,205","68,590","96,239","93,738"
OCUPADA,"58,136","49,510","73,676","72,582","67,575","93,759","90,244"
DESOCUPADA,"1,060",789,755,623,"1,015","2,480","3,494"
POBLACIÓN ACTIVA,"203,579","1,893,043","870,466","280,135","302,187","249,032","887,722"
OCUPADA,"123,544","1,726,219","750,844","201,987","183,692","195,079","815,648"
DESOCUPADA,"80,035","166,824","119,622","78,148","118,495","53,953","72,074"
