"POBLACIÓN DE 15 AÑOS Y MAS ECONÓMICAMENTE ACTIVA, SEGÚN GRUPO DE OCUPACIÓN Y",,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
ACTIVOS ECONÓMICAMENTE,"15,352,447","14,654,357","14,709,394","14,316,792","14,610,572","14,443,669","14,190,834"
POBLACIÓN ACTIVA,"2,428,969","3,814,817","2,839,101","2,306,661","2,300,979","2,314,527","2,471,801"
OCUPADA,"2,357,336","3,645,079","2,721,008","2,228,496","2,206,339","2,233,419","2,417,756"
DESOCUPADA,"71,633","169,738","118,093","78,165","94,640","81,108","54,045"
POBLACIÓN ACTIVA,"460,506","404,459","526,942","537,095","669,786","550,430","699,016"
OCUPADA,"437,568","384,608","501,958","507,814","636,325","519,693","683,238"
DESOCUPADA,"22,938","19,851","24,984","29,281","33,461","30,737","15,778"
POBLACIÓN ACTIVA,"1,032,650","888,788","927,042","931,457","937,669","900,732","761,705"
OCUPADA,"976,383","847,301","873,384","887,862","888,167","861,994","736,875"
DESOCUPADA,"56,267","41,487","53,658","43,595","49,502","38,738","24,830"
POBLACIÓN ACTIVA,"2,983,573","2,465,821","2,592,923","2,636,533","2,597,546","2,663,175","2,346,193"
OCUPADA,"2,839,968","2,368,448","2,486,902","2,536,710","2,478,452","2,550,606","2,261,844"
DESOCUPADA,"143,605","97,373","106,021","99,823","119,094","112,569","84,349"
POBLACIÓN ACTIVA,"756,068","610,001","729,571","774,718","753,606","766,371","536,864"
OCUPADA,"728,600","591,341","707,700","749,193","726,790","742,668","518,056"
DESOCUPADA,"27,468","18,660","21,871","25,525","26,816","23,703","18,808"
POBLACIÓN ACTIVA,"1,029,244","873,646","969,556","990,611","1,044,280","1,023,880","972,679"
OCUPADA,"966,258","826,436","919,147","939,349","987,996","978,800","944,104"
DESOCUPADA,"62,986","47,210","50,409","51,262","56,284","45,080","28,575"
POBLACIÓN ACTIVA,"62,313","52,621","50,333","53,797","53,445","45,528","21,154"
OCUPADA,"60,428","51,542","49,457","53,402","51,771","45,248","21,100"
DESOCUPADA,"1,885","1,079",876,395,"1,674",280,54
POBLACIÓN ACTIVA,"2,885,953","2,421,052","2,623,224","2,696,219","2,753,186","2,710,052","2,418,446"
OCUPADA,"2,693,897","2,286,002","2,468,576","2,552,635","2,596,693","2,576,049","2,322,055"
DESOCUPADA,"192,056","135,050","154,648","143,584","156,493","134,003","96,391"
POBLACIÓN ACTIVA,"2,842,517","2,442,312","2,485,513","2,539,202","2,580,743","2,655,210","2,616,023"
OCUPADA,"2,710,211","2,349,818","2,388,115","2,448,034","2,459,416","2,550,520","2,521,095"
DESOCUPADA,"132,306","92,494","97,398","91,168","121,327","104,690","94,928"
POBLACIÓN ACTIVA,"309,659","251,240","362,579","365,393","386,900","312,484","668,910"
OCUPADA,"230,976","200,830","279,510","286,311","263,911","257,399","599,373"
DESOCUPADA,"78,683","50,410","83,069","79,082","122,989","55,085","69,537"
NO BUSCAN TRABAJO,"360,859","213,873","126,348","95,502","91,180","47,950","12,818"
