ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Total,Currency: Local currency,2017,1660.092,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Agriculture,Currency: Local currency,2017,1380.134,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Industry,Currency: Local currency,2017,1697.332,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Services,Currency: Local currency,2017,1664.747,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Not classified,Currency: Local currency,2017,2385.786,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Male,Economic activity (Broad sector): Total,Currency: Local currency,2017,1720.506,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Male,Economic activity (Broad sector): Agriculture,Currency: Local currency,2017,1450.283,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Male,Economic activity (Broad sector): Industry,Currency: Local currency,2017,1792.386,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Male,Economic activity (Broad sector): Services,Currency: Local currency,2017,1719.984,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and economic activity,Sex: Male,Economic activity (Broad sector): Not classified,Currency: Local currency,2017,2387.093,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
