ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (Skill level): Total,Currency: Local currency,2020,103.364,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (Skill level): Total,Currency: Local currency,2020,414.319,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (Skill level): Total,Currency: Local currency,2020,112.084,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): Total,Currency: Local currency,2020,103.364,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Currency: Local currency,2020,131.773,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 2. Professionals,Currency: Local currency,2020,146.244,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 4. Clerks,Currency: Local currency,2020,99.616,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Currency: Local currency,2020,85.568,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Currency: Local currency,2020,54.794,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 7. Craft and related trades workers,Currency: Local currency,2020,81.38,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Currency: Local currency,2020,79.164,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 9. Elementary occupations,Currency: Local currency,2020,106.87,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 0. Armed forces,Currency: Local currency,2020,137.746,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): Total,Currency: Local currency,2020,414.319,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Currency: Local currency,2020,117.847,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 2. Professionals,Currency: Local currency,2020,130.061,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 4. Clerks,Currency: Local currency,2020,105.317,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Currency: Local currency,2020,87.736,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Currency: Local currency,2020,54.952,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 7. Craft and related trades workers,Currency: Local currency,2020,80.481,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Currency: Local currency,2020,80.565,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 9. Elementary occupations,Currency: Local currency,2020,106.931,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 0. Armed forces,Currency: Local currency,2020,143.883,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): Total,Currency: Local currency,2020,112.084,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Currency: Local currency,2020,101.143,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 2. Professionals,Currency: Local currency,2020,147.118,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 4. Clerks,Currency: Local currency,2020,97.584,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Currency: Local currency,2020,92.549,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Currency: Local currency,2020,44.936,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 7. Craft and related trades workers,Currency: Local currency,2020,84.848,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Currency: Local currency,2020,67.204,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 9. Elementary occupations,Currency: Local currency,2020,107.157,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Female,Occupation (ISCO-88): 0. Armed forces,Currency: Local currency,2020,81.897,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (Skill level): Total,Currency: Local currency,2017,1660.092,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Currency: Local currency,2017,1953.031,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Currency: Local currency,2017,1547.009,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Currency: Local currency,2017,2148.033,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Total,Occupation (Skill level): Not elsewhere classified,Currency: Local currency,2017,1862.405,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (Skill level): Total,Currency: Local currency,2017,1720.506,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Currency: Local currency,2017,2005.555,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Currency: Local currency,2017,1645.216,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (Skill level): Skill level 1 ~ low,Currency: Local currency,2017,2289.688,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average hourly earnings of employees by sex and occupation,Sex: Male,Occupation (Skill level): Not elsewhere classified,Currency: Local currency,2017,1935.65,,,Currency: VEN - Bolívar fuerte (VEF),Repository: ILO-STATISTICS - Micro data processing
