ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Total,Currency: Local currency,2020,2942239.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Agriculture,Currency: Local currency,2020,1783022.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Broad sector): Not classified,Currency: Local currency,2020,1196479.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Male,Economic activity (Broad sector): Total,Currency: Local currency,2020,2856071.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Male,Economic activity (Broad sector): Agriculture,Currency: Local currency,2020,1809784.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Female,Economic activity (Broad sector): Total,Currency: Local currency,2020,3045285.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Female,Economic activity (Broad sector): Agriculture,Currency: Local currency,2020,1498312.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Female,Economic activity (Broad sector): Not classified,Currency: Local currency,2020,1196479.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Aggregate): Total,Currency: Local currency,2020,2942239.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and economic activity,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: Local currency,2020,1783022.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
