ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (Skill level): Total,Currency: Local currency,2020,2942239.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Male,Occupation (Skill level): Total,Currency: Local currency,2020,2856071.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Female,Occupation (Skill level): Total,Currency: Local currency,2020,3045285.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): Total,Currency: Local currency,2020,2942239.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Currency: Local currency,2020,3340573.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 2. Professionals,Currency: Local currency,2020,3808697.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 4. Clerks,Currency: Local currency,2020,2749200.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Currency: Local currency,2020,2600349.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Currency: Local currency,2020,1673400.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 7. Craft and related trades workers,Currency: Local currency,2020,2364105.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Currency: Local currency,2020,2370142.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 9. Elementary occupations,Currency: Local currency,2020,2798172.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Total,Occupation (ISCO-88): 0. Armed forces,Currency: Local currency,2020,4654303.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): Total,Currency: Local currency,2020,2856071.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Male,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Currency: Local currency,2020,3563558.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 2. Professionals,Currency: Local currency,2020,3664398.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex and occupation,Sex: Male,Occupation (ISCO-88): 4. Clerks,Currency: Local currency,2020,2936807.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
