ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2019,12.349,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2019,8.588,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2019,12.597,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2019,26.247,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2019,17.711,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2019,27.186,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2019,10.048,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2019,5.9,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2019,10.293,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2019,10.066,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2019,6.831,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2019,10.282,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2019,21.867,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2020 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2019,13.999,,,,
