ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Single / Widowed / Divorced,2017,3650.333,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Married / Union / Cohabiting,2017,4526.039,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Not elsewhere classified,2017,7.948,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Total,2017,7959.624,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Single / Widowed / Divorced,2017,3556.768,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Married / Union / Cohabiting,2017,4394.908,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Not elsewhere classified,2017,7.948,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Total,2017,1225.925,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Single / Widowed / Divorced,2017,932.068,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Married / Union / Cohabiting,2017,292.567,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Marital status (Aggregate): Total,2017,6958.395,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Marital status (Aggregate): Single / Widowed / Divorced,2017,2718.265,,,,Repository: ILO-STATISTICS - Micro data processing
