ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,2292.281,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 2 ~ medium,2017,5664.865,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 1 ~ low,2017,55.819,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15+",Occupation (Skill level): Not elsewhere classified,2017,171.355,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Total,2017,7959.624,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,2237.413,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 2 ~ medium,2017,5497.719,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 1 ~ low,2017,55.132,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Occupation (Skill level): Not elsewhere classified,2017,169.36,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Total,2017,1225.925,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,148.284,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 2 ~ medium,2017,1017.042,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 1 ~ low,2017,9.43,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Occupation (Skill level): Not elsewhere classified,2017,51.169,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Total,2017,6958.395,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,2143.997,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 2 ~ medium,2017,4647.823,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Skill level 1 ~ low,2017,46.389,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Total,"Age (Youth, adults): 25+",Occupation (Skill level): Not elsewhere classified,2017,120.186,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Total,2017,4518.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,836.207,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 2 ~ medium,2017,3503.616,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Skill level 1 ~ low,2017,47.312,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15+",Occupation (Skill level): Not elsewhere classified,2017,131.054,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Total,2017,4375.646,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,808.465,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 2 ~ medium,2017,3390.437,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Skill level 1 ~ low,2017,47.126,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Occupation (Skill level): Not elsewhere classified,2017,129.618,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Total,2017,782.504,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,68.09,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 2 ~ medium,2017,666.884,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, age and occupation (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Occupation (Skill level): Skill level 1 ~ low,2017,6.596,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
