ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 1-4 persons,2017,1382.451,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 5-49 persons,2017,5450.823,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): 50+ persons,2017,1349.632,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Total,Establishment size (Aggregate): Not stated,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): Total,2017,417.379,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 1-4 persons,2017,194.193,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 5-49 persons,2017,194.731,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Establishment size (Aggregate): 50+ persons,2017,28.455,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): Total,2017,7766.941,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): 1-4 persons,2017,1188.258,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and establishment size (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Establishment size (Aggregate): 5-49 persons,2017,5256.092,,,,Repository: ILO-STATISTICS - Micro data processing
