ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Public,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Private,2017,5069.886,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,417.379,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,9.768,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,407.611,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Total,2017,7766.941,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Public,2017,3104.666,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Private,2017,4662.275,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,1604.447,,,,Repository: ILO-STATISTICS - Micro data processing
