ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,3650.333,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,4526.039,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Total,Marital status (Aggregate): Not elsewhere classified,2017,7.948,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Total,2017,97.762,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Single / Widowed / Divorced,2017,53.467,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Married / Union / Cohabiting,2017,43.971,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Less than basic,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Total,2017,2162.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, education and marital status (thousands)",Sex: Total,Education (Aggregate levels): Basic,Marital status (Aggregate): Single / Widowed / Divorced,2017,901.004,,,,Repository: ILO-STATISTICS - Micro data processing
