ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Total,Education (Aggregate levels): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Total,Education (Aggregate levels): Less than basic,2017,97.762,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Total,Education (Aggregate levels): Basic,2017,2162.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Total,Education (Aggregate levels): Intermediate,2017,2463.979,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Total,Education (Aggregate levels): Advanced,2017,3452.409,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Total,Education (Aggregate levels): Level not stated,2017,7.599,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Education (Aggregate levels): Total,2017,2292.281,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Education (Aggregate levels): Less than basic,2017,3.47,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Education (Aggregate levels): Basic,2017,96.702,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Education (Aggregate levels): Intermediate,2017,283.762,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Education (Aggregate levels): Advanced,2017,1908.347,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Education (Aggregate levels): Total,2017,5664.865,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Education (Aggregate levels): Less than basic,2017,89.071,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Education (Aggregate levels): Basic,2017,2015.556,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, occupation and education (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Education (Aggregate levels): Intermediate,2017,2076.593,,,,Repository: ILO-STATISTICS - Micro data processing
