ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,3650.333,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,4526.039,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Not elsewhere classified,2017,7.948,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Total,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Single / Widowed / Divorced,2017,1199.861,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Married / Union / Cohabiting,2017,1910.87,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Not elsewhere classified,2017,3.703,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Total,2017,5069.886,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Single / Widowed / Divorced,2017,2450.472,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Married / Union / Cohabiting,2017,2615.169,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Not elsewhere classified,2017,4.245,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Total,Marital status (Aggregate): Total,2017,4518.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,1838.954,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,2674.587,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Total,Marital status (Aggregate): Not elsewhere classified,2017,4.648,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Public,Marital status (Aggregate): Total,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Public,Marital status (Aggregate): Single / Widowed / Divorced,2017,458.219,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Public,Marital status (Aggregate): Married / Union / Cohabiting,2017,948.078,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Public,Marital status (Aggregate): Not elsewhere classified,2017,2.088,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Private,Marital status (Aggregate): Total,2017,3109.804,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Private,Marital status (Aggregate): Single / Widowed / Divorced,2017,1380.735,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Private,Marital status (Aggregate): Married / Union / Cohabiting,2017,1726.509,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Private,Marital status (Aggregate): Not elsewhere classified,2017,2.56,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Total,Marital status (Aggregate): Total,2017,3666.131,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,1811.379,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,1851.452,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Total,Marital status (Aggregate): Not elsewhere classified,2017,3.3,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Public,Marital status (Aggregate): Total,2017,1706.049,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Public,Marital status (Aggregate): Single / Widowed / Divorced,2017,741.642,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Public,Marital status (Aggregate): Married / Union / Cohabiting,2017,962.792,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Public,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Private,Marital status (Aggregate): Total,2017,1960.082,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Private,Marital status (Aggregate): Single / Widowed / Divorced,2017,1069.737,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Private,Marital status (Aggregate): Married / Union / Cohabiting,2017,888.66,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Female,Institutional sector: Private,Marital status (Aggregate): Not elsewhere classified,2017,1.685,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Detailed): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Detailed): Single,2017,2766.05,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Detailed): Married,2017,1651.19,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Detailed): Union / Cohabiting,2017,2874.849,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Detailed): Widowed,2017,104.782,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Detailed): Divorced or legally separated,2017,779.501,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Detailed): Not elsewhere classified,2017,7.948,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employees by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Detailed): Total,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
