ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15+",,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15-64",,2017,7959.624,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,"Age (Youth, adults): 15-24",,2017,1225.925,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,"Age (Youth, adults): 25+",,2017,6958.395,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15+",,2017,4518.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15-64",,2017,4375.646,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Male,"Age (Youth, adults): 15-24",,2017,782.504,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Male,"Age (Youth, adults): 25+",,2017,3735.685,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15+",,2017,3666.131,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15-64",,2017,3583.978,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Female,"Age (Youth, adults): 15-24",,2017,443.421,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Female,"Age (Youth, adults): 25+",,2017,3222.71,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,Age (Aggregate bands): Total,,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,Age (Aggregate bands): 15-24,,2017,1225.925,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,Age (Aggregate bands): 25-54,,2017,6026.87,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,Age (Aggregate bands): 55-64,,2017,706.829,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Total,Age (Aggregate bands): 65+,,2017,224.696,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Male,Age (Aggregate bands): Total,,2017,4518.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and age (thousands),Sex: Male,Age (Aggregate bands): 15-24,,2017,782.504,,,,Repository: ILO-STATISTICS - Micro data processing
