ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Total,,2020,7516.866,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Agriculture,,2020,240.457,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Non-agriculture,,2020,7276.409,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Industry,,2020,1142.534,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Services,,2020,6123.231,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Not classified,,2020,10.644,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Male,Economic activity (Broad sector): Total,,2020,4284.079,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Male,Economic activity (Broad sector): Agriculture,,2020,214.236,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Male,Economic activity (Broad sector): Non-agriculture,,2020,4069.843,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and economic activity (thousands),Sex: Male,Economic activity (Broad sector): Industry,,2020,838.577,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
