ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): Total,,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): 1-4 persons,,2017,1382.451,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): 5-49 persons,,2017,5450.823,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): 50+ persons,,2017,1349.632,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Aggregate): Not stated,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): Total,,2017,4518.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): 1-4 persons,,2017,863.702,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): 5-49 persons,,2017,2821.749,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): 50+ persons,,2017,831.6,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Male,Establishment size (Aggregate): Not stated,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): Total,,2017,3666.131,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): 1-4 persons,,2017,518.749,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): 5-49 persons,,2017,2629.074,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): 50+ persons,,2017,518.032,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Female,Establishment size (Aggregate): Not stated,,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): Total,,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 1 person,,2017,259.74,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and establishment size (thousands),Sex: Total,Establishment size (Detailed): 2-4 persons,,2017,1122.711,,,,Repository: ILO-STATISTICS - Micro data processing
