ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Total,,2020,7516.866,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2020,2182.486,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,,2020,4499.893,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 1 ~ low,,2020,653.521,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Total,Occupation (Skill level): Not elsewhere classified,,2020,180.966,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Total,,2020,4284.079,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2020,833.554,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,,2020,2963.636,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 1 ~ low,,2020,330.396,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and occupation (thousands),Sex: Male,Occupation (Skill level): Not elsewhere classified,,2020,156.493,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population | Age coverage - minimum age: 10 years old"
