ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: Total,,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 1-14,,2017,127.095,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 15-29,,2017,269.519,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 30-34,,2017,193.332,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 35-39,,2017,756.604,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 40-48,,2017,6088.467,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: 49+,,2017,352.628,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Total,Hour bands: Not elsewhere classified,,2017,396.675,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: Total,,2017,4518.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 1-14,,2017,69.923,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 15-29,,2017,123.993,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employees by sex and weekly hours actually worked (thousands),Sex: Male,Hour bands: 30-34,,2017,85.406,,,,Repository: ILO-STATISTICS - Micro data processing
