ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2017,63.056,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2017,42.818,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2017,60.583,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2017,61.526,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2017,69.868,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2017,54.572,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2017,66.333,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2017,54.549,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2017,65.711,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2017,62.964,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2017,71.396,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2017,58.993,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2017,37.096,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2017,37.324,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2017,38.246,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2017,36.246,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2017,37.156,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2017,46.849,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2017,70.946,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2017,43.371,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2017,65.749,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment-to-population ratio by sex, age and education (%)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2017,73.354,,,,Repository: ILO-STATISTICS - Micro data processing
