ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2020,47.219,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2020,48.674,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2020,47.117,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2020,27.367,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2020,33.94,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2020,26.632,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2020,52.901,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2020,56.279,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2020,52.701,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2020,63.614,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2020,65.791,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2020,63.46,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2020,40.416,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2020,49.169,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Urban,2020,39.393,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 25+",Area type: National,2020,70.636,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 25+",Area type: Rural,2020,75.44,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 25+",Area type: Urban,2020,70.359,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15+",Area type: National,2020,31.792,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15+",Area type: Rural,2020,32.361,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15+",Area type: Urban,2020,31.752,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15-24",Area type: National,2020,13.989,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Rural,2020,17.012,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Urban,2020,13.666,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 25+",Area type: National,2020,36.618,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 25+",Area type: Rural,2020,39.416,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 25+",Area type: Urban,2020,36.449,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2019,50.065,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2019,50.968,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2019,50.005,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2019,30.671,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2019,35.821,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2019,30.133,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2019,55.67,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2019,58.663,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2019,55.5,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2019,67.07,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2019,68.852,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2019,66.95,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2019,45.136,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2019,52.438,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Urban,2019,44.371,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 25+",Area type: National,2019,73.742,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 25+",Area type: Rural,2019,77.735,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Male,"Age (Youth, adults): 25+",Area type: Urban,2019,73.518,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15+",Area type: National,2019,33.997,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15+",Area type: Rural,2019,34.03,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15+",Area type: Urban,2019,33.995,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15-24",Area type: National,2019,15.882,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Rural,2019,18.727,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Urban,2019,15.586,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 25+",Area type: National,2019,38.977,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 25+",Area type: Rural,2019,41.342,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Female,"Age (Youth, adults): 25+",Area type: Urban,2019,38.841,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2018,54.476,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment-to-population ratio by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (%)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2018,55.463,,,,
