ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Total,Education (Aggregate levels): Total,,2017,63.056,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Total,Education (Aggregate levels): Less than basic,,2017,42.818,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Total,Education (Aggregate levels): Basic,,2017,60.583,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Total,Education (Aggregate levels): Intermediate,,2017,61.526,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Total,Education (Aggregate levels): Advanced,,2017,69.868,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Total,Education (Aggregate levels): Level not stated,,2017,54.572,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Male,Education (Aggregate levels): Total,,2017,75.806,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Male,Education (Aggregate levels): Less than basic,,2017,62.734,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Male,Education (Aggregate levels): Basic,,2017,77.204,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Male,Education (Aggregate levels): Intermediate,,2017,74.712,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and education (%),Sex: Male,Education (Aggregate levels): Advanced,,2017,76.715,,,,Repository: ILO-STATISTICS - Micro data processing
