ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Total,,2017,63.056,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Single / Widowed / Divorced,,2017,54.904,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Married / Union / Cohabiting,,2017,71.016,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Not elsewhere classified,,2017,49.559,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Aggregate): Total,,2017,75.806,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Aggregate): Single / Widowed / Divorced,,2017,62.485,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Aggregate): Married / Union / Cohabiting,,2017,87.862,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Aggregate): Not elsewhere classified,,2017,58.426,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Aggregate): Total,,2017,50.506,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Aggregate): Single / Widowed / Divorced,,2017,47.99,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Aggregate): Married / Union / Cohabiting,,2017,53.167,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Aggregate): Not elsewhere classified,,2017,37.626,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Detailed): Total,,2017,63.056,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Detailed): Single,,2017,53.361,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Detailed): Married,,2017,68.9,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Detailed): Union / Cohabiting,,2017,72.249,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Detailed): Widowed,,2017,31.806,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Detailed): Divorced or legally separated,,2017,70.06,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Detailed): Not elsewhere classified,,2017,49.559,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Detailed): Total,,2017,75.806,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Detailed): Single,,2017,60.694,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Detailed): Married,,2017,82.744,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Detailed): Union / Cohabiting,,2017,90.854,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Detailed): Widowed,,2017,44.843,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Detailed): Divorced or legally separated,,2017,82.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Detailed): Not elsewhere classified,,2017,58.426,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Detailed): Total,,2017,50.506,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Detailed): Single,,2017,44.413,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Detailed): Married,,2017,54.178,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Detailed): Union / Cohabiting,,2017,52.58,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Detailed): Widowed,,2017,28.169,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Detailed): Divorced or legally separated,,2017,65.373,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Female,Marital status (Detailed): Not elsewhere classified,,2017,37.626,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Total,,2016,57.93,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Single / Widowed / Divorced,,2016,49.286,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Married / Union / Cohabiting,,2016,66.354,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Total,Marital status (Aggregate): Not elsewhere classified,,2016,26.436,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment-to-population ratio by sex and marital status (%),Sex: Male,Marital status (Aggregate): Total,,2016,70.9,,,,Repository: ILO-STATISTICS - Micro data processing
