ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15+",Status in employment (Aggregate): Total,2022,10352.055,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15+",Status in employment (Aggregate): Employees,2022,6195.76,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15+",Status in employment (Aggregate): Self-employed,2022,4156.295,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15-24",Status in employment (Aggregate): Total,2022,1118.253,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15-24",Status in employment (Aggregate): Employees,2022,654.999,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15-24",Status in employment (Aggregate): Self-employed,2022,463.254,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 25+",Status in employment (Aggregate): Total,2022,9233.802,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 25+",Status in employment (Aggregate): Employees,2022,5540.76,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 25+",Status in employment (Aggregate): Self-employed,2022,3693.041,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15+",Status in employment (ICSE-93): Total,2022,10352.055,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by age and status in employment -- ILO modelled estimates, Nov. 2023 (thousands)",,"Age (Youth, adults): 15+",Status in employment (ICSE-93): 1. Employees,2022,6195.76,,,,
