ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,2879.031,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 2 ~ medium,2017,11385.968,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Skill level 1 ~ low,2017,69.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (Skill level): Not elsewhere classified,2017,245.923,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Total,2017,1166.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,20.157,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 2 ~ medium,2017,1140.53,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Skill level 1 ~ low,2017,5.456,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (Skill level): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Total,2017,13413.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,2858.874,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Skill level 2 ~ medium,2017,10245.438,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Skill level 1 ~ low,2017,63.907,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (Skill level): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Total,2017,2894.124,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,341.497,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill level 2 ~ medium,2017,2490.377,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Skill level 1 ~ low,2017,59.292,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (Skill level): Not elsewhere classified,2017,2.958,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Total,2017,10363.925,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,2506.975,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Skill level 2 ~ medium,2017,7727.756,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Skill level 1 ~ low,2017,4.07,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Services,Occupation (Skill level): Not elsewhere classified,2017,125.124,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Total,2017,155.747,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,10.402,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Skill level 2 ~ medium,2017,27.305,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Skill level 1 ~ low,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Not classified,Occupation (Skill level): Not elsewhere classified,2017,117.495,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,596.212,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 2. Professionals,2017,2282.819,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 4. Clerks,2017,980.673,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,5387.613,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,2017,1130.143,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,2017,3887.539,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 9. Elementary occupations,2017,69.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): 0. Armed forces,2017,116.691,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Total,Occupation (ISCO-88): X. Not elsewhere classified,2017,129.232,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): Total,2017,1166.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,11.12,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 2. Professionals,2017,9.037,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 4. Clerks,2017,2.29,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,45.959,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,2017,1064.757,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,2017,27.524,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): 9. Elementary occupations,2017,5.456,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Agriculture,Occupation (ISCO-88): X. Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): Total,2017,13413.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,585.092,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 2. Professionals,2017,2273.782,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 4. Clerks,2017,978.383,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,5341.654,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,2017,65.386,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,2017,3860.015,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): 9. Elementary occupations,2017,63.907,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Non-agriculture,Occupation (ISCO-88): X. Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): Total,2017,2894.124,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",2017,155.176,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 2. Professionals,2017,186.321,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 4. Clerks,2017,126.935,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,2017,226.16,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,2017,10.931,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,2017,2126.351,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 9. Elementary occupations,2017,59.292,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by economic activity and occupation (thousands),,Economic activity (Broad sector): Industry,Occupation (ISCO-88): 0. Armed forces,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
