ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2017,301.499,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2017,5061.883,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2017,4454.956,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2017,4745.378,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2017,16.569,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2017,13899.89,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2017,234.578,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2017,4668.395,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2017,4341.322,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2017,4640.416,,,,Repository: ILO-STATISTICS - Micro data processing
