ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Single / Widowed / Divorced,2017,6251.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Married / Union / Cohabiting,2017,8315.121,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15+",Marital status (Aggregate): Not elsewhere classified,2017,13.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Total,2017,13899.89,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Single / Widowed / Divorced,2017,5955.026,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Married / Union / Cohabiting,2017,7931.667,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Marital status (Aggregate): Not elsewhere classified,2017,13.197,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Total,2017,1999.251,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Single / Widowed / Divorced,2017,1500.271,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Married / Union / Cohabiting,2017,497.423,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Marital status (Aggregate): Total,2017,12581.034,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Marital status (Aggregate): Single / Widowed / Divorced,2017,4751.063,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Marital status (Aggregate): Married / Union / Cohabiting,2017,7817.698,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Total,"Age (Youth, adults): 25+",Marital status (Aggregate): Not elsewhere classified,2017,12.273,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Male,"Age (Youth, adults): 15+",Marital status (Aggregate): Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Male,"Age (Youth, adults): 15+",Marital status (Aggregate): Single / Widowed / Divorced,2017,3393.569,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, age and marital status (thousands)",Sex: Male,"Age (Youth, adults): 15+",Marital status (Aggregate): Married / Union / Cohabiting,2017,5292.386,,,,Repository: ILO-STATISTICS - Micro data processing
