ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2020,9766.651,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2020,662.325,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2020,9104.325,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2020,1259.555,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2020,157.234,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2020,1102.321,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2020,8507.096,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2020,505.091,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2020,8002.004,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2020,6378.881,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2020,436.846,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2020,5942.035,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2020,941.671,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2020,119.909,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Urban,2020,821.762,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: National,2020,5437.209,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Rural,2020,316.936,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 25+",Area type: Urban,2020,5120.273,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: National,2020,3387.77,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Rural,2020,225.48,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15+",Area type: Urban,2020,3162.29,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: National,2020,317.883,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Rural,2020,37.325,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Area type: Urban,2020,280.559,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 25+",Area type: National,2020,3069.887,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 25+",Area type: Rural,2020,188.155,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Female,"Age (Youth, adults): 25+",Area type: Urban,2020,2881.732,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: National,2019,10364.293,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2019,663.772,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2019,9700.521,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2019,1423.361,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2019,157.145,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2019,1266.216,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: National,2019,8940.932,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2019,506.626,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2019,8434.305,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: National,2019,6745.653,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2019,436.17,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2019,6309.483,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: National,2019,1058.895,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2021 (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Area type: Rural,2019,116.646,,,,
