ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Total,Multiple job holders: Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Total,Multiple job holders: One job only,2017,14447.566,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Total,Multiple job holders: More than one job,2017,132.719,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Multiple job holders: Total,2017,1166.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Multiple job holders: One job only,2017,1147.306,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Multiple job holders: More than one job,2017,19.183,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Multiple job holders: Total,2017,13413.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Multiple job holders: One job only,2017,13300.26,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Multiple job holders: More than one job,2017,113.536,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Multiple job holders: Total,2017,2894.124,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Multiple job holders: One job only,2017,2870.896,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Multiple job holders: More than one job,2017,23.228,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and multiple job holding (thousands)",Sex: Total,Economic activity (Broad sector): Services,Multiple job holders: Total,2017,10363.925,,,,Repository: ILO-STATISTICS - Micro data processing
