ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Public,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Total,Institutional sector: Private,2017,11465.851,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,1166.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,9.768,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,1156.721,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Total,2017,13413.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Public,2017,3104.666,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Non-agriculture,Institutional sector: Private,2017,10309.13,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,2894.124,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,334.858,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Industry,Institutional sector: Private,2017,2559.266,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Total,2017,10363.925,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Public,2017,2759.368,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Services,Institutional sector: Private,2017,7604.557,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Total,2017,155.747,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Public,2017,10.44,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Broad sector): Not classified,Institutional sector: Private,2017,145.307,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Public,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Total,Institutional sector: Private,2017,7286.924,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,1037.146,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,6.549,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,1030.597,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Non-agriculture,Institutional sector: Total,2017,7658.163,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Non-agriculture,Institutional sector: Public,2017,1401.836,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Non-agriculture,Institutional sector: Private,2017,6256.327,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,2211.402,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,267.935,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Industry,Institutional sector: Private,2017,1943.467,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Services,Institutional sector: Total,2017,5354.152,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Services,Institutional sector: Public,2017,1130.364,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Services,Institutional sector: Private,2017,4223.788,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Not classified,Institutional sector: Total,2017,92.609,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Not classified,Institutional sector: Public,2017,3.537,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Broad sector): Not classified,Institutional sector: Private,2017,89.072,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Total,Institutional sector: Total,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Total,Institutional sector: Public,2017,1706.049,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Total,Institutional sector: Private,2017,4178.927,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Agriculture,Institutional sector: Total,2017,129.343,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Agriculture,Institutional sector: Public,2017,3.219,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Agriculture,Institutional sector: Private,2017,126.124,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Non-agriculture,Institutional sector: Total,2017,5755.633,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Non-agriculture,Institutional sector: Public,2017,1702.83,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Non-agriculture,Institutional sector: Private,2017,4052.803,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Industry,Institutional sector: Total,2017,682.722,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Industry,Institutional sector: Public,2017,66.923,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Industry,Institutional sector: Private,2017,615.799,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Services,Institutional sector: Total,2017,5009.773,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Services,Institutional sector: Public,2017,1629.004,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Services,Institutional sector: Private,2017,3380.769,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Not classified,Institutional sector: Total,2017,63.138,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Not classified,Institutional sector: Public,2017,6.903,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Female,Economic activity (Broad sector): Not classified,Institutional sector: Private,2017,56.235,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Total,Institutional sector: Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Total,Institutional sector: Public,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Total,Institutional sector: Private,2017,11465.851,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Agriculture,Institutional sector: Total,2017,1166.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Agriculture,Institutional sector: Public,2017,9.768,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Agriculture,Institutional sector: Private,2017,1156.721,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Manufacturing,Institutional sector: Total,2017,1577.064,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Manufacturing,Institutional sector: Public,2017,102.79,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Manufacturing,Institutional sector: Private,2017,1474.274,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Construction,Institutional sector: Total,2017,1060.532,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Construction,Institutional sector: Public,2017,23.561,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Construction,Institutional sector: Private,2017,1036.971,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Institutional sector: Total,2017,256.528,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Institutional sector: Public,2017,208.507,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Institutional sector: Private,2017,48.021,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Institutional sector: Total,2017,5597.653,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Institutional sector: Public,2017,209.707,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Institutional sector: Private,2017,5387.946,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Institutional sector: Total,2017,4766.272,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Institutional sector: Public,2017,2549.661,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Institutional sector: Private,2017,2216.611,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Not classified,Institutional sector: Total,2017,155.747,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Not classified,Institutional sector: Public,2017,10.44,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Total,Economic activity (Aggregate): Not classified,Institutional sector: Private,2017,145.307,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Total,Institutional sector: Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Total,Institutional sector: Public,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Total,Institutional sector: Private,2017,7286.924,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Agriculture,Institutional sector: Total,2017,1037.146,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Agriculture,Institutional sector: Public,2017,6.549,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Agriculture,Institutional sector: Private,2017,1030.597,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Manufacturing,Institutional sector: Total,2017,1037.553,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Manufacturing,Institutional sector: Public,2017,81.298,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Manufacturing,Institutional sector: Private,2017,956.255,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Construction,Institutional sector: Total,2017,969.938,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Construction,Institutional sector: Public,2017,19.791,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,Economic activity (Aggregate): Construction,Institutional sector: Private,2017,950.147,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Institutional sector: Total,2017,203.911,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Institutional sector: Public,2017,166.846,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Institutional sector: Private,2017,37.065,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Institutional sector: Total,2017,3375.501,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, economic activity and public/private sector (thousands)",Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Institutional sector: Public,2017,121.783,,,,Repository: ILO-STATISTICS - Micro data processing
