ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: Total",2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 01 - Agriculture, hunting and related service activities",2017,1079.053,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 02 - Forestry, logging and related service activities",2017,3.288,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 05 - Fishing, aquaculture and service activities incidental to fishing",2017,84.148,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 10 - Mining of coal and lignite; extraction of peat",2017,6.04,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 11 - Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying",2017,149.422,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 13 - Mining of metal ores",2017,32.394,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 14 - Other mining and quarrying",2017,6.656,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 15 - Manufacture of food products and beverages",2017,425.859,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 16 - Manufacture of tobacco products",2017,8.067,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 17 - Manufacture of textiles",2017,35.54,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 18 - Manufacture of wearing apparel; dressing and dyeing of fur",2017,222.056,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 19 - Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",2017,32.223,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 20 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2017,139.217,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 21 - Manufacture of paper and paper products",2017,19.49,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 22 - Publishing, printing and reproduction of recorded media",2017,35.834,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 23 - Manufacture of coke, refined petroleum products and nuclear fuel",2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 24 - Manufacture of chemicals and chemical products",2017,58.315,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 25 - Manufacture of rubber and plastics products",2017,55.865,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 26 - Manufacture of other non-metallic mineral products",2017,58.572,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 27 - Manufacture of basic metals",2017,58.398,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 28 - Manufacture of fabricated metal products, except machinery and equipment",2017,228.935,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 29 - Manufacture of machinery and equipment n.e.c.",2017,126.203,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 34 - Manufacture of motor vehicles, trailers and semi-trailers",2017,24.131,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 36 - Manufacture of furniture; manufacturing n.e.c.",2017,46.437,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 40 - Electricity, gas, steam and hot water supply",2017,41.684,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 41 - Collection, purification and distribution of water",2017,20.332,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 45 - Construction",2017,1060.532,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 51 - Wholesale trade and commission trade, except of motor vehicles and motorcycles",2017,144.836,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 52 - Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",2017,2819.66,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, education and economic activity - ISIC level 2 (thousands)",Sex: Total,Education (Aggregate levels): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 55 - Hotels and restaurants",2017,543.647,,,,Repository: ILO-STATISTICS - Micro data processing
