ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: Total",2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 01 - Agriculture, hunting and related service activities",2017,1079.053,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 02 - Forestry, logging and related service activities",2017,3.288,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 05 - Fishing, aquaculture and service activities incidental to fishing",2017,84.148,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 10 - Mining of coal and lignite; extraction of peat",2017,6.04,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 11 - Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying",2017,149.422,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 13 - Mining of metal ores",2017,32.394,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 14 - Other mining and quarrying",2017,6.656,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 15 - Manufacture of food products and beverages",2017,425.859,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)",Sex: Total,Establishment size (Aggregate): Total,"Economic activity (ISIC-Rev.3.1), 2 digit level: 16 - Manufacture of tobacco products",2017,8.067,,,,Repository: ILO-STATISTICS - Micro data processing
