ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,6251.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,8315.121,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): Total,Marital status (Aggregate): Not elsewhere classified,2017,13.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Total,2017,7106.582,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,3074.663,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Married / Union / Cohabiting,2017,4026.229,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 1-4 persons,Marital status (Aggregate): Not elsewhere classified,2017,5.69,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Total,2017,5948.011,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, establishment size and marital status (thousands)",Sex: Total,Establishment size (Aggregate): 5-49 persons,Marital status (Aggregate): Single / Widowed / Divorced,2017,2514.664,,,,Repository: ILO-STATISTICS - Micro data processing
