ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: Total,Marital status (Aggregate): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,6251.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,8315.121,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: Total,Marital status (Aggregate): Not elsewhere classified,2017,13.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: One job only,Marital status (Aggregate): Total,2017,14447.566,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: One job only,Marital status (Aggregate): Single / Widowed / Divorced,2017,6204.579,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: One job only,Marital status (Aggregate): Married / Union / Cohabiting,2017,8229.157,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: One job only,Marital status (Aggregate): Not elsewhere classified,2017,13.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: More than one job,Marital status (Aggregate): Total,2017,132.719,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: More than one job,Marital status (Aggregate): Single / Widowed / Divorced,2017,46.755,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Total,Multiple job holders: More than one job,Marital status (Aggregate): Married / Union / Cohabiting,2017,85.964,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: Total,Marital status (Aggregate): Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,3393.569,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,5292.386,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: Total,Marital status (Aggregate): Not elsewhere classified,2017,9.354,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: One job only,Marital status (Aggregate): Total,2017,8608.329,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: One job only,Marital status (Aggregate): Single / Widowed / Divorced,2017,3369.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: One job only,Marital status (Aggregate): Married / Union / Cohabiting,2017,5229.641,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: One job only,Marital status (Aggregate): Not elsewhere classified,2017,9.354,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: More than one job,Marital status (Aggregate): Total,2017,86.98,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: More than one job,Marital status (Aggregate): Single / Widowed / Divorced,2017,24.235,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Male,Multiple job holders: More than one job,Marital status (Aggregate): Married / Union / Cohabiting,2017,62.745,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Female,Multiple job holders: Total,Marital status (Aggregate): Total,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, multiple job holding and marital status (thousands)",Sex: Female,Multiple job holders: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,2857.765,,,,Repository: ILO-STATISTICS - Micro data processing
