ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,6251.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,8315.121,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Total,Marital status (Aggregate): Not elsewhere classified,2017,13.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Total,2017,2879.031,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Single / Widowed / Divorced,2017,1204.015,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Married / Union / Cohabiting,2017,1673.083,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Not elsewhere classified,2017,1.933,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Total,2017,11385.968,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Single / Widowed / Divorced,2017,4912.101,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Married / Union / Cohabiting,2017,6461.97,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Marital status (Aggregate): Not elsewhere classified,2017,11.897,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Total,2017,69.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Single / Widowed / Divorced,2017,23.182,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Marital status (Aggregate): Married / Union / Cohabiting,2017,46.181,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Total,2017,245.923,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Single / Widowed / Divorced,2017,112.036,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Marital status (Aggregate): Married / Union / Cohabiting,2017,133.887,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,3393.569,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,5292.386,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Male,Occupation (Skill level): Total,Marital status (Aggregate): Not elsewhere classified,2017,9.354,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Total,2017,1168.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and marital status (thousands)",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Marital status (Aggregate): Single / Widowed / Divorced,2017,424.529,,,,Repository: ILO-STATISTICS - Micro data processing
