ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Total,Institutional sector: Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Total,Institutional sector: Public,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Total,Institutional sector: Private,2017,11465.851,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Total,2017,2879.031,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Public,2017,1407.565,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Private,2017,1471.466,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Total,2017,11385.968,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Public,2017,1561.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Private,2017,9824.479,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Total,2017,69.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Public,2017,25.161,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Private,2017,44.202,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Institutional sector: Total,2017,245.923,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Institutional sector: Public,2017,120.219,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (Skill level): Not elsewhere classified,Institutional sector: Private,2017,125.704,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Total,Institutional sector: Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Total,Institutional sector: Public,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Total,Institutional sector: Private,2017,7286.924,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Total,2017,1168.65,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Public,2017,445.491,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Private,2017,723.159,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Total,2017,7289.828,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Public,2017,837.396,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Private,2017,6452.432,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Total,2017,58.534,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Public,2017,23.81,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Private,2017,34.724,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Not elsewhere classified,Institutional sector: Total,2017,178.297,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Not elsewhere classified,Institutional sector: Public,2017,101.688,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (Skill level): Not elsewhere classified,Institutional sector: Private,2017,76.609,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Total,Institutional sector: Total,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Total,Institutional sector: Public,2017,1706.049,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Total,Institutional sector: Private,2017,4178.927,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Total,2017,1710.381,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Public,2017,962.074,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,Institutional sector: Private,2017,748.307,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Total,2017,4096.14,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Public,2017,724.093,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,Institutional sector: Private,2017,3372.047,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Total,2017,10.829,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Public,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Skill level 1 ~ low,Institutional sector: Private,2017,9.478,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Not elsewhere classified,Institutional sector: Total,2017,67.626,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Not elsewhere classified,Institutional sector: Public,2017,18.531,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Female,Occupation (Skill level): Not elsewhere classified,Institutional sector: Private,2017,49.095,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): Total,Institutional sector: Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): Total,Institutional sector: Public,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): Total,Institutional sector: Private,2017,11465.851,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Institutional sector: Total,2017,596.212,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Institutional sector: Public,2017,127.002,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Institutional sector: Private,2017,469.21,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 2. Professionals,Institutional sector: Total,2017,2282.819,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 2. Professionals,Institutional sector: Public,2017,1280.563,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 2. Professionals,Institutional sector: Private,2017,1002.256,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 4. Clerks,Institutional sector: Total,2017,980.673,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 4. Clerks,Institutional sector: Public,2017,414.399,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 4. Clerks,Institutional sector: Private,2017,566.274,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Institutional sector: Total,2017,5387.613,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Institutional sector: Public,2017,864.492,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Institutional sector: Private,2017,4523.121,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Institutional sector: Total,2017,1130.143,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Institutional sector: Public,2017,11.698,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Institutional sector: Private,2017,1118.445,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Institutional sector: Total,2017,3887.539,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Institutional sector: Public,2017,270.9,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Institutional sector: Private,2017,3616.639,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 9. Elementary occupations,Institutional sector: Total,2017,69.363,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 9. Elementary occupations,Institutional sector: Public,2017,25.161,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 9. Elementary occupations,Institutional sector: Private,2017,44.202,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 0. Armed forces,Institutional sector: Total,2017,116.691,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 0. Armed forces,Institutional sector: Public,2017,111.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): 0. Armed forces,Institutional sector: Private,2017,4.715,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): X. Not elsewhere classified,Institutional sector: Total,2017,129.232,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): X. Not elsewhere classified,Institutional sector: Public,2017,8.243,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Total,Occupation (ISCO-88): X. Not elsewhere classified,Institutional sector: Private,2017,120.989,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): Total,Institutional sector: Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): Total,Institutional sector: Public,2017,1408.385,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): Total,Institutional sector: Private,2017,7286.924,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Institutional sector: Total,2017,400.902,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Institutional sector: Public,2017,85.458,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,"Occupation (ISCO-88): 1. Legislators, senior officials and managers",Institutional sector: Private,2017,315.444,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 2. Professionals,Institutional sector: Total,2017,767.748,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 2. Professionals,Institutional sector: Public,2017,360.033,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 2. Professionals,Institutional sector: Private,2017,407.715,,Nonstandard occupation: Including 3,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 4. Clerks,Institutional sector: Total,2017,301.152,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 4. Clerks,Institutional sector: Public,2017,126.654,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 4. Clerks,Institutional sector: Private,2017,174.498,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Institutional sector: Total,2017,2607.401,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Institutional sector: Public,2017,452.609,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 5. Service workers and shop and market sales workers,Institutional sector: Private,2017,2154.792,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Institutional sector: Total,2017,1015.596,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Institutional sector: Public,2017,8.654,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 6. Skilled agricultural and fishery workers,Institutional sector: Private,2017,1006.942,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Institutional sector: Total,2017,3365.679,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Institutional sector: Public,2017,249.479,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 8. Plant and machine operators and assemblers,Institutional sector: Private,2017,3116.2,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 9. Elementary occupations,Institutional sector: Total,2017,58.534,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, occupation and public/private sector (thousands)",Sex: Male,Occupation (ISCO-88): 9. Elementary occupations,Institutional sector: Public,2017,23.81,,,,Repository: ILO-STATISTICS - Micro data processing
