ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,6251.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,8315.121,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Total,Marital status (Aggregate): Not elsewhere classified,2017,13.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Total,2017,3114.434,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Single / Widowed / Divorced,2017,1199.861,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Married / Union / Cohabiting,2017,1910.87,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Public,Marital status (Aggregate): Not elsewhere classified,2017,3.703,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Total,2017,11465.851,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Single / Widowed / Divorced,2017,5051.473,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Married / Union / Cohabiting,2017,6404.251,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Total,Institutional sector: Private,Marital status (Aggregate): Not elsewhere classified,2017,10.127,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, public/private sector and marital status (thousands)",Sex: Male,Institutional sector: Total,Marital status (Aggregate): Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
