ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: National,Economic activity (Broad sector): Total,2019,11137.068,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: National,Economic activity (Broad sector): Agriculture,2019,898.922,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: National,Economic activity (Broad sector): Industry,2019,1735.997,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: National,Economic activity (Broad sector): Services,2019,8502.15,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Rural,Economic activity (Broad sector): Total,2019,718.296,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Rural,Economic activity (Broad sector): Agriculture,2019,195.332,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Rural,Economic activity (Broad sector): Industry,2019,100.72,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Rural,Economic activity (Broad sector): Services,2019,422.244,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Urban,Economic activity (Broad sector): Total,2019,10418.773,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Urban,Economic activity (Broad sector): Agriculture,2019,703.589,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Urban,Economic activity (Broad sector): Industry,2019,1635.277,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Total,Area type: Urban,Economic activity (Broad sector): Services,2019,8079.907,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,Area type: National,Economic activity (Broad sector): Total,2019,7016.369,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,Area type: National,Economic activity (Broad sector): Agriculture,2019,860.875,,,,
Venezuela (Bolivarian Republic of),ILO - Modelled Estimates,"Employment by sex, rural / urban areas and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",Sex: Male,Area type: National,Economic activity (Broad sector): Industry,2019,1444.263,,,,
