ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Mismatch): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Mismatch): Undereducated,2017,4193.679,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Mismatch): Matched,2017,7948.36,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Mismatch): Overeducated,2017,2438.247,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Mismatch): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Mismatch): Undereducated,2017,1934.076,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Mismatch): Matched,2017,4696.773,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Mismatch): Overeducated,2017,1553.47,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Mismatch): Total,2017,6309.499,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Mismatch): Undereducated,2017,2223.361,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Mismatch): Matched,2017,3210.508,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Mismatch): Overeducated,2017,875.63,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Male,Status in employment (Aggregate): Total,Education (Mismatch): Total,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Male,Status in employment (Aggregate): Total,Education (Mismatch): Undereducated,2017,2791.679,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Male,Status in employment (Aggregate): Total,Education (Mismatch): Matched,2017,4583.496,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Male,Status in employment (Aggregate): Total,Education (Mismatch): Overeducated,2017,1320.134,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Male,Status in employment (Aggregate): Employees,Education (Mismatch): Total,2017,4518.189,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)",Sex: Male,Status in employment (Aggregate): Employees,Education (Mismatch): Undereducated,2017,1202.16,,,,Repository: ILO-STATISTICS - Micro data processing
