ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Aggregate levels): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Aggregate levels): Less than basic,2017,301.499,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Aggregate levels): Basic,2017,5061.883,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Aggregate levels): Intermediate,2017,4454.956,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Aggregate levels): Advanced,2017,4745.378,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Total,Education (Aggregate levels): Level not stated,2017,16.569,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Aggregate levels): Total,2017,8184.32,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Aggregate levels): Less than basic,2017,97.762,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Aggregate levels): Basic,2017,2162.571,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Aggregate levels): Intermediate,2017,2463.979,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Aggregate levels): Advanced,2017,3452.409,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Employees,Education (Aggregate levels): Level not stated,2017,7.599,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Aggregate levels): Total,2017,6309.499,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Aggregate levels): Less than basic,2017,201.181,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Aggregate levels): Basic,2017,2860.98,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Aggregate levels): Intermediate,2017,1959.924,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Aggregate levels): Advanced,2017,1278.444,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Self-employed,Education (Aggregate levels): Level not stated,2017,8.97,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, status in employment and education (thousands)",Sex: Total,Status in employment (Aggregate): Workers not classifiable by status,Education (Aggregate levels): Total,2017,86.466,,,,Repository: ILO-STATISTICS - Micro data processing
