ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: Total,Marital status (Aggregate): Total,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: Total,Marital status (Aggregate): Single / Widowed / Divorced,2017,6251.334,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: Total,Marital status (Aggregate): Married / Union / Cohabiting,2017,8315.121,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: Total,Marital status (Aggregate): Not elsewhere classified,2017,13.83,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 1-14,Marital status (Aggregate): Total,2017,405.822,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 1-14,Marital status (Aggregate): Single / Widowed / Divorced,2017,187.478,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 1-14,Marital status (Aggregate): Married / Union / Cohabiting,2017,217.433,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 1-14,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 15-29,Marital status (Aggregate): Total,2017,900.625,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 15-29,Marital status (Aggregate): Single / Widowed / Divorced,2017,439.939,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 15-29,Marital status (Aggregate): Married / Union / Cohabiting,2017,460.487,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 15-29,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 30-34,Marital status (Aggregate): Total,2017,543.283,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 30-34,Marital status (Aggregate): Single / Widowed / Divorced,2017,251.704,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 30-34,Marital status (Aggregate): Married / Union / Cohabiting,2017,290.776,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 30-34,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 35-39,Marital status (Aggregate): Total,2017,1902.204,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 35-39,Marital status (Aggregate): Single / Widowed / Divorced,2017,878.04,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 35-39,Marital status (Aggregate): Married / Union / Cohabiting,2017,1023.45,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 35-39,Marital status (Aggregate): Not elsewhere classified,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 40-48,Marital status (Aggregate): Total,2017,9350.876,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 40-48,Marital status (Aggregate): Single / Widowed / Divorced,2017,3954.876,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 40-48,Marital status (Aggregate): Married / Union / Cohabiting,2017,5387.698,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 40-48,Marital status (Aggregate): Not elsewhere classified,2017,8.302,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 49+,Marital status (Aggregate): Total,2017,887.807,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Employment by sex, weekly hours actually worked and marital status (thousands)",Sex: Total,Hour bands: 49+,Marital status (Aggregate): Single / Widowed / Divorced,2017,312.983,,,,Repository: ILO-STATISTICS - Micro data processing
