ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",,2017,1166.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",,2017,13413.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",,2017,8695.309,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",,2017,1037.146,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",,2017,7658.163,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",,2017,5884.976,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",,2017,129.343,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",,2017,5755.633,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Total,,2017,14580.285,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Agriculture,,2017,1166.489,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Non-agriculture,,2017,13413.796,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Industry,,2017,2894.124,,,,Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Employment by sex and economic activity (thousands),Sex: Total,Economic activity (Broad sector): Services,,2017,10363.925,,,,Repository: ILO-STATISTICS - Micro data processing
